<title>對庭梅 五言絶句</title>,<text>畵梅雖盡妙。不似活梅眞。一點生生意。猶含陋巷春。</text>
<title>贈李先達新恩時逸 敬安 三絶</title>,<text>悅親何必綵衣嬉。頭戴天香桂萼垂。年少登科寧不幸。事君更得日長時。科名只得一時奇。勳業宜思百世垂。移孝盡忠能事畢。願君爲學益孜孜。脚下通衢萬里平。如今發軔最初程。此翁衰老死無日。安得見君勳業成。</text>
<title>女兒爲我製帛襦一領。愛惜不着。藏冊籠中。見失於狗偸。並失錦伯所送蠟燭一雙及他衣服。只留靑衫一件。</title>,<text>阿女新成一領襦。寒來欲掩老爺軀。帛衣於我終無分。今日還輸狗鼠偸。司馬靑衫等蒭狗。老來無用篋中藏。偸兒亦知君恩重。特地留存不敢傷。蠟炬一雙自錦營。藏之珍重待時明。如今不惜人偸去。但恨虗拋遠寄情。</text>
<title>漢鄭康成居北海。生丁卯。年七十。傳家事於子益恩。吾亦丁卯生。而適七十。又以家事付兒。讀康成戒子書有感。三首</title>,<text>命似康成學不如。家比康成貧有餘。新歲還添無益惱。却慙當日戒兒書。吾與康成生歲同。月城南似不其東。康成居不其城東。 花溪百世山猶在。倘許人稱敎授峰。康成所居山名敎授。文會菴前溪水淸。春來幽草遍溪生。東風到處綠無盡。後世誰傳書帶名。康成居有草名書帶。</text>
<title>二月十二日在花溪。風日甚惡。聞韓友愼初以是日葬。遂題二絶。</title>,<text>風緊天寒春雨餘。邙山何處送靈車。花溪此日情懷惡。老淚無端自滿裾。和淚新題虀露詞。詞成欲寄也憑誰。縱饒寄向重泉去。冥漠重泉可得知。</text>
<title>花溪雨後 二首</title>,<text>春雨夜來水滿溪。遠山雲物眼中迷。頹然病卧擡頭望。林外幽禽得意啼。沙路橫斜溪水濱。叱牛驅馬往來人。紛紛都是奔忙者。堪笑菴中病卧身。</text>
<title>次道周上人詩 幷小序</title>,<text>老竆索居。俗物多敗人意。聞師以禪門宗匠。主盟叢林。法侶雲集。殊切傾想。小衲傳札。詩以報之。師其倘發一笑否。病伏窮崖謝世芬。暮年花鳥惱詩魂。高僧何處開經幄。恨不連床共討文。賴有沙彌信使專。翩然一札落牎前。此翁與世相忘久。喜得靈山雅意傳。蓮社東林遠莫尋。迦陵仙鳥但聞音。秪應慧月千江色。分照花溪一片心。</text>
<title>夜坐聽洞簫 時杜鵑又啼</title>,<text>洞簫聲繞雨花天。夜靜空山客不眠。更有杜鵑啼共咽。餘音嫋嫋轉悽然。</text>
<title>溪社春祝</title>,<text>優曇鉢裡花開落。敎授山中雲卷舒。閒坐老翁無一事。翫心長對伏羲書。</text>
<title>示燦兒</title>,<text>丁丑歲終是戊寅。吾兒三十六靑春。願言早决名塲事。乃父行年近八旬。</text>
<title>歸家留數日。奴問家事。茫然不知所答。戱吟。</title>,<text>長在溪菴不在家。歸時恰似客來過。癡奴問事還忘答。仰屋沉吟至日斜。</text>
<title>騎牛歸溪菴</title>,<text>山路雨餘牛背穩。老翁情况問如何。但視古人輸一筭。角無書掛扣無歌。</text>
<title>李友景老自稱松翁。稱我爲溪翁。以其自居松亭而我居花溪也。戱吟一絶。</title>,<text>松翁長在松亭下。何似溪翁不出溪。溪水自淸松自老。兩翁題目着當題。</text>
<title>道中</title>,<text>龍鍾老脚任西東。不害人稱矍鑠翁。春滿溪山花落盡。詩情移入綠陰中。</text>
<title>與李戚行之同卧戱吟</title>,<text>獨睡翁逢獨睡翁。兩翁睡味一般融。花翁但有歸山夢。睡味雖同意不同。</text>
<title>道泰上人歷訪。暫話卽別。別後寄一絶。</title>,<text>仙鶴飛來忽飛去。至今如失此翁心。生公說法石應解。遙望白雲何處尋。</text>
<title>題天師百松詩後</title>,<text>何事老僧吟百松。百松還是一般松。從知臨濟家風處。不見天生石上松。</text>
<title>寄西峰道泰上人 二首</title>,<text>不同其道不相謀。休向靈山問白牛。却羡雲林淸凈地。一心閒適自無求。經綸大志揔歸虗。生計還同涸轍魚。早識君平爲世棄。遠公蓮社我先居。</text>
<title>淸曉默坐有感。憶西峰老師。</title>,<text>默坐溪牎夜氣淸。澹然不見一塵生。遙知靈鷲西峰月。遍照諸天花雨明。</text>
<title>寄憨衲</title>,<text>一片菱花照蠧編。誰將佛眼掛頭邊。向來心貺難忘在。魚魯分明敵少年。</text>
<title>路逢道泰上人</title>,<text>途中忽遇廬山遠。坐語還忘日影移。淸話未終飛錫去。秋風溪上獨歸遲。</text>
<title>孫兒灦阻雨停科</title>,<text>科名得失自關天。阻雨停行數亦然。不去安知不爲福。深泥怒水免沉顚。</text>
<title>煥兒赴擧見屈。作詩四絶以勉之。且示燦兒。</title>,<text>才通須遇命通辰。命若不通才不伸。才命俱通應有日。待時何必㤪蒼旻。人力能回造化功。竆通不必問蒼穹。若能培植無欠。雨露猶沾石上松。吾家舊物在詩書。世世相傳自有餘。得失浮名還細事。聖贒對處樂何如。學問工夫不可忘。貧窮衣食奈奔忙。朝耕夜讀古人事。願汝孜孜無怠荒。</text>
<title>臘月二十二日。偶閱篋中親舊書札。不耐懷人之感。隨意以題。所懷二人。卽黃參判景源。趙監司明鼎。各吟二絶。以寓相思之意。</title>,<text>知己相逢自古稀。蒼蠅吊客仲翔悲。一絃山水人誰解。我識黃公是子期。曾憐爨下已焦桐。收入山公啓事中。豈敢妄希吾分外。枯査只自感春風。右黃參判幾蒙詩句辱相酬。燦燦瓊琚滿篋留。猥托陰何詩集在。東都故事倘添收。五馬舊曾過石扉。花溪山水倍光輝。巖臺當日陪遊處。物色依俙誰與歸。右憶趙錦伯</text>
<title>有人贈以新曆一件。副以筆一墨一。又藏一小刀於其中。筆墨則已知隨曆來矣。小刀則其人去後始知之。欲還給而不可得。戱吟二絶。</title>,<text>山中曆日自何來。仍喜文房二友偕。復恐陰邪投間入。故敎神鍔暗藏胎吾無曾愛延陵劒。人自暗投明月珠。旣不送還仍佩服。事同商賈定堪羞。其人有文字之諧故云</text>
<title>肩輿上下山坂 自花溪上天龍。自天龍往梅月堂。皆上下山坂。</title>,<text>扶舁上山又下山。下山傾側上山艱。一心戒懼無時放。行路難知在此間。</text>
<title>己卯元朝吟</title>,<text>坐擁十年弊褐衣。行扶三尺老筇枝。身邊手下無新物。只得元朝一首詩。</text>
<title>二月初九日。夜卧吟懷。時季女病後沉綿云</title>,<text>獨卧溪菴夜寂寥。枕邊愁聽雨蕭蕭。愛緣糾結也難解。心似風旌常自搖。</text>
<title>十二日。魚隊諸生。設小盤夜坐會話。偶吟二絶。</title>,<text>此會人間亦好期。一塲談笑夜分時。老來吾輩心中事。年少諸人未必知。浮世人無百歲期。只堪歡樂太平時。相看一笑還無語。山水淸音昔已知。時孫友爾和唱酬故云云</text>
<title>聞崔耳叟別世</title>,<text>落落晨星已漸稀。凄凄朝露又先晞。此翁猶作未歸客。旅館殘燈淚自揮。</text>
<title>庶母行喪日。遭風雪在山。又有觝戱者。路峻不能隨喪。獨在山下。悲懷難耐。歸路念得三絶。</title>,<text>虐雪饕風撼太虗。季春氣色季冬如。役夫顚倒泥塗滑。天戱窮人負土初。冒寒扶櫬上懸崖。臨下阿誰復欲擠。天旣戱之人又戲。送終情事益荒迷。蹣跚老脚蹲山下。一哭無緣臨壙伸。揮淚歸來空悵望。澗邊啼鳥共悲辛。</text>
<title>朝日對雨後山</title>,<text>春山雨後淡生烟。朝日照之顔色鮮。願使吾心凈如此。一塵不染本然天。</text>
<title>雨後沿溪。散步偶吟。</title>,<text>春雨新晴道少人。曳筇閒步小溪濱。天公洗出孱顔色。凈凈元無一點塵。</text>
<title>聞栗翁日耽碁局。戲吟以博一笑。</title>,<text>君耽碁局我耽詩。優劣中間未敢知。詩愛獨吟棊待伴。憫君無賴索居時。</text>
<title>崔耳叟將以四月十一日葬。前五日往哭之。歸路吟一絶。</title>,<text>故人將去靑山葬。未去靑山來吊之。哭拜筵前人不見。出門無語淚空垂。</text>
<title>訪東林老師</title>,<text>夕陽山路曳筇遲。爲向東林訪老師。脉脉相看無一語。獅兒座上碧蘿垂。</text>
<title>次崔生伯益遊山韻七首</title>,<text>亭號枕流閱幾春。亭墟不見枕流身。層巖潭水依前在。落日徘徊蠟屐人。來訪名區屬暮春。枕流當日卽前身。追惟往事還如昨。疑是蘧蘧夢裡人。踏來山北與山西。隨處白雲濃復低。欲問遺蹤流水在。靑松默默鳥空啼。何人曾此占名區。上有層巖巖下流。詩債前人猶未了。至今留與十分酬。地秘天慳劃一區。朗吟移坐俯淸流。夕陽下嶺歸心速。詩債如今未盡酬。右枕流亭劃然長嘯上山頂。前者先登後者呼。踏破朱砂雲萬疊。俯觀應笑白頭吾。右朱砂菴龍湫水落自盤渦。渟滀山中萬斛波。安得移家此中老。望之不見念時多。右時多龍湫</text>
<title>有客踰南嶺來戲吟 在南山</title>,<text>客散高堂客又來。主人鋪席急呼盃。看君衣袂烟霞濕。正是仙山踏破回。</text>
<title>追次韓思彦金山寺立春韻二首 五言四韻</title>,<text>一氣相推敓。方知泰運開。曉盤初薦菜。陽管已飛灰。寒逐土牛去。暖隨綵燕回。願豐同晦老。相勸太平杯。夜靜山齋寂。春隨曉漏開。啖松禪業凈。枕石俗緣灰。共喜三陽進。同看一氣回。不須沽酒飮。談笑勝銜杯。</text>
<title>權世欽送茄。以詩酬之。</title>,<text>此物來何自。應從魯直園。味甘同柚橘。色潔勝瑤琨。入口沉痾失。投盤爽氣存。病夫添一味。知荷故人恩。涪翁家有銀茄。而權送亦白故云。</text>
<title>八月晦間。夢至一處。遇貴人命賦盆梅。成五言四韻。</title>,<text>誰將一掬土。托此羅浮神。榦曲嫌先伐。花含報後春。暗香風外動。淸標雪中新。欲待調羹用。留看結子辰。</text>
<title>正朝吟</title>,<text>寓廬如斗大。坐卧僅容身。畏病難忘病。安貧不似貧。工夫全廢棄。志氣半摧淪。四十猶嫌晩。又添一箇春。</text>
<title>次金上舍禮甲韻 時與諸賢遊南川。煑莫禁魚。</title>,<text>非鰍亦非鱖。鰕蛭與生生。噴沫纖鱗密。呑沙小腹脝。掃來何用網。收得可炊羹。村舍無他味。寒厨供一烹。</text>
<title>見鍾閣壁上題名有感</title>,<text>壁間姓名在。半是泉下人。往跡成千古。餘生復幾春。當年謝公屐。他日賀監塵。安得金剛術。終能不壞身。</text>
<title>除夕留別諸蘭奢</title>,<text>來作山中客。還如世外人。儒書時獨覽。僧語日相親。竹爆驚除夕。鍾鳴已報晨。拂衣催去路。回首白雲濱。</text>
<title>次銘巖崔雲程觀習操韻</title>,<text>大將鳴金皷。排成左右營。八門疑不動。萬馬寂無聲。雲屯旗影合。電掣劒光橫。用武將何地。方今屬太平。</text>
<title>書社雨後。書示學徒。</title>,<text>溪山春雨後。景物一番新。沙洗白初凈。草𧀎綠漸均。水泉聞㶁㶁。原野望畇畇。願爾尋玆意。孜孜滌垢塵。</text>
<title>春日途中</title>,<text>十里長郊外。三春暮景時。陌頭黃已歇。山腹綠初披。氣化元無閼。陶匀豈有私。陰崖枯木在。生意十分滋。</text>
<title>遊鳴山島。孫僉使索句。遂戲吟。</title>,<text>倚棹鳴山島。滄溟渺渺邊。奇巖波上矗。微靄日中褰。擧足疑無地。擡頭只有天。臨風送淸篴。卽此是神仙。</text>
<title>遣懷</title>,<text>村居無甚事。詩債覔閒情。病暑風爲藥。鏖愁酒作兵。日光穿雨漏。山色透雲呈。不覺朝炊晩。隣雞叫午聲。</text>
<title>比安途中</title>,<text>偶作觀光伴。仍爲漫浪遊。時時穿樹密。處處傍溪流。翠靄千山暮。黃雲十里秋。好將無限景。都付錦囊收。</text>
<title>李道而來訪。示以所作詩。仍往花溪阻雪。遂次其韻投贈。</title>,<text>故人不忘我。來訪竆巷間。偶會成眞率。相逢豈等閒。去時泥塞路。別後雪盈山。遙想客牎裡。應歎行路難。</text>
<title>次梅月堂卷中登山韻</title>,<text>共訪招提路。攀崖步步休。扶筇穿谷口。呼酒坐巖頭。晩萼紅將爛。晴嵐翠欲流。仙翁芳躅在。付與後人遊。</text>
<title>次表忠祠韻</title>,<text>嶺南多義士。方外有雲師。靈雨火炎息。至誠天地知。國家猶倚重。蠻貊亦稱奇。新廟揭虔處。香生檀樹枝。</text>
<title>朴進士敏孝以梅自比。寓嘲諷於柳。戱次二首。</title>,<text>傍梅添勝賞。栽柳費經營。柳兆皇孫慶。梅粧公主情。風流眞可尙。冷淡苦難平。先發當先落。不須較弟兄。野庄何所有。春柳兩三枝。最好和風日。偏宜細雨時。悠揚豪士態。偃蹇丈夫姿。天地生生意。知渠與共之。</text>
<title>寓中次朴士源三首</title>,<text>窮陰奪春序。白雪政瀌瀌。月愛淸光襲。梅憐亂蘂交。閒情袁枕穩。詩興灞橋遙。天地成銀海。茫茫遠近郊。陽三已屬泰。滕六還浮瀌。樹訝梨花亂。庭疑月色交。遊酣衡岳暮。興盡剡溪遙。何處騎驢客。尋梅踏遠郊。腔裏春又茁。頭邊雪正瀌。箕裘餘舊業。膠㓒托新交。擧目江雲近。論心玉麈遙。想應五陵路。詩興滿前郊。</text>
<title>山家滋味</title>,<text>莫言食無肉。珍味滿山家。綠蟻斟堪愛。香鵑煑更嘉。馬蹄當脯鹿。鱉脚勝羹駞。復有蹲䲭在。雉膏不羡他。</text>
<title>登盈德淸心樓。次壁上韻。</title>,<text>偶自丹丘路。携朋到野城。危樓臨水濶。遠客覺心淸。暮靄生虗檻。斜陽入半庭。荻岸漁舟泊。時聽棹歌聲。</text>
<title>次憑虛樓板上韻</title>,<text>地從十洲近。山與六鰲浮。鑿水以安柱。憑虗仍架樓。松林疑畵障。蓮葉是仙舟。坐客無塵俗。烟霞動滿裘。</text>
<title>寓南山。次白香山何處難忘酒。以遣幽懷。三首</title>,<text>何處難忘酒。他村寄寓辰。篋空塵撲手。衣薄冷侵身。懶甚看書罷。愁多倚檻頻。此時無一盞。那得慰酸辛。何處難忘酒。親交日喪亡。老歸猶慘惻。夭逝最哀傷。消息都無好。聞來便欲狂。此時無一盞。那得豁心腸。何處難忘酒。官差督債租。禾登秋刈盡。稻熟水沉無。腹裡惟文字。庭中但草蕪。此時無一盞。那得慰窮途。</text>
<title>自南山將移寓鐵菴</title>,<text>南山僑寓久。獨坐意悠悠。臘近催人老。夜長引客愁。吟詩聊慰寂。得酒暫寬憂。去住元無定。吾生儘若浮。</text>
<title>寓鐵瓦菴諸益。自蓮亭來訪。翌日以詩謝之。</title>,<text>自憐拘一壑。叵耐送諸君。筇逐泉聲逈。袂從岳色分。巖危懸獨樹。洞僻滯孤雲。遙憶蓮亭上。披襟共討文。</text>
