<title>日 乙酉</title>,<text>太陽全體明。蓋有君人象。品彙莫逃形。恠奇森萬狀。</text>
<title>書揭鐵原褒忠祠 幷小序</title>,<text>皇朝誥贈遼東伯諡忠武公金應河。深河赴戰三回甲之暮春十九。烈皇帝諱辰。與忠臣諸家後裔。祇拜大報壇之奉室。先命宣傳官等。單薦忠武祀孫宅基。當日除宣傳官。又命武將之爲忠武公李舜臣，忠肅公趙廷翼後孫者。往至北營。試柳葉箭。賜初試。仍御北苑。親試賜第。特付戊午式年之榜。事若有待。豈勝愴舊。若使英靈有知。必不禁涕淫淫。遂書一絶。揭于鐵原褒忠祠。男子聲名聞四夷。遼東華誥海東姿。深河老柳如人立。知是將軍倚劒時。</text>
<title>命築壇龍灣。歲侑皇朝遺民林寅觀等九十五人。用故副學李端相韻。志感。二首○幷小序</title>,<text>記昔林寅觀等。奉皇曆航海而來也。距涒灘二十有四年。薄海黎庶方謳歌思漢。而詢其鄕則泉漳也。叩其言則華夏也。慨南船之消息。歎北極之朝廷。翹首企喙。若將復覩皇華之盛也。當其時。防海之禁甚猛。而東歸之跡易泄。旣無可以循故途而還之也。又無可以討僻壤而居之也。竟不得不出於不得已之擧。眞古人所謂流涕引刀者是已。此故副學石室山前之詩所由作也。環箕封小大婦孺之拊心潛欷者。百年如一日。豈忍詳哉。豈忍忘哉。每過弘濟前路。追想黃功擊劒論襟事。輒不禁愾念感咽。近因壇侑義起之典。遂步石室二章。用刊白馬之山。替續黃鳥之賦。時戊午孟秋神宗顯皇帝諱辰之翼日也。蠖詘龍伸自去來。今人田地昔人開。當年不有燕行恨。誰遣英魂是日廻。肅然風自楚江來。江上招招大酒開。一渡此江無淨土。環東千里往仍廻。</text>
<title>送提學沈煥之遊金剛</title>,<text>忽憶雲安聽酒濤。金剛八月拂塵袍。烟光知是蓬萊近。秋色爭如海嶽高。旌節黃公臺上鶴。經綸任子釣邊鼇。卿能認我宵衣夢。輸得民情入彩毫。</text>
<title>贈領府事洪樂性江亭之遊 幷小序</title>,<text>宿來起居萬勝。卿國之元老也。福如郭令公。壽如文潞公。園林鐘鼓。頤養有年。神彩比益滋潤。步屧比益康旺。及秋高日佳。從諸子童孫。便輿作江亭遊。眞稀有之盛事也。遂命史官詢起居。兼付一詩。以爲誇示來後之資。仍要蔡判府賡之。判府明年是八十第八云。卿之從叔文衡亦耆臣。與卿家族祖奉朝賀共和。詩中旣言城西老。則東洛老亦許賡載爲可。人瑞編中最上頭。好將洪福贊皇疇。韶顔白髮遲遲日。丹木黃花灩灩秋。平地神仙添海屋。晩天絲管鬧江樓。更看八十城西老。車馬應從綠野遊。</text>
<title>題黔巖撥舍 幷小序</title>,<text>曉戒輿衛。將拜于敬陵昌陵。少駐黔巖。恭瞻紀蹟之碑。愴慕彌新。况是日。卽我先大王御極之日也。遇是日於是地。益切曲阜烏號之感。而眞遊已遠。弓劒莫攀。遂拈仁字。庸寓不洎之微忱。時予小子踐阼之二十二年。戊午之仲秋二十有九日也。黔巖紀聖蹟。皇矣我寧人。羲馭潛時事。齊牛問處仁。顯揚追舊甲。光御感依辰。茇舍懷明發。羹墻永慕新。</text>
<title>德廟五回甲戊午仲秋。祇謁敬陵行祭。謹疊桓廟八回甲志慶聯韻。奉揭齋舍。賡載諸臣。領中樞府事洪樂性，判中樞府事蔡濟恭，亞獻官左議政李秉模，終獻官光恩副尉金箕性，藥房提調趙宗鉉，閣臣鄭民始，金載瓚，徐龍輔，鄭大容，李晩秀，南公轍，徐榮輔，金祖淳，李始源，沈象奎，李存秀，承旨洪仁浩，李益運，申耆，李肇源，別雲劒李祖源，黃昇源，趙鎭寬，徐邁修，兵曹判書李時秀，贊禮趙尙鎭，京畿監司李在學，別兼春秋金履永，假注書洪奭周。</title>,<text>誕惟王業所由基。戊午聯成乙卯詩。御製。 於萬千春緜吉慶。今三百歲叶干支。臣樂性。 履霜玉趾今年感。繞電璇樞萬古垂。臣濟恭。 大德升歌淸廟瑟。緜庥上配定陵碑。臣秉模。 重回歲甲宸情切。迓續天休景命貽。臣箕性。 奕葉琮璜流景鑠。萬年光岳永維持。臣宗鉉。 著雍甲舊瞻虹華。望月峯高配鳳岐。臣民始。 慶毓宣陵天啓運。德符桓祖史傳辭。臣載瓚。 中身孺慕追文考。始盥顒孚見伏羲。臣龍輔。 降福洋洋緜寶籙。齎誠穆穆仰宸儀。臣大容。 于今樂利邦回泰。當日謳歌德叶离。臣晩秀。 丁閣褥床無改昔。甲年霜露感如斯。臣公轍。 聖人繼述推隆報。積慶靈長頌久遲。臣榮輔。 邈矣仙遊瞻設象。愀如聖慕寓尊彝。臣祖淳。 廟門肅蹕雲凝樹。仙寢明禋露浥墀。臣始源。 長發殷祥懷往昔。無疆周曆啓來玆。臣象奎。 星回太歲追禖鳦。天設崇岡叶瑞龜。臣存秀。 慶自詒謨基宥密。祭宜受福頌成綏。臣仁浩。 檜杉怳若衣冠列。陵麓瞻依日月姿。臣益運。 史牒長書無盡曆。寰區爭頌永言思。臣耆。 肅雝儀度承籩豆。肸蠁聲光被竹絲。臣肇源。 列寢松陰隣兆域。仲秋霜氣肅旌旗。臣祖源。 昭芬孝永親將禮。緜瓞功尊競烈詞。臣昇源。 喬柏雲封追舜慕。唐華春及頌堯治。臣鎭寬。 祥符走馬瞻西滸。慶叶興龍頌北池。臣邁修。 鳳曆恭惟垂篤佑。鴻休何况屬重煕。臣時秀。 猗那景寢同昭慶。承顯姬家誕啓祺。臣尙鎭。 玉瓚流長儀盛德。犧尊香薦受純釐。臣在學。 神功一日歸民厚。精義千秋俟聖知。臣履永。 鑾蹕遲遲松柏路。瑞雲留護萬年枝。臣奭周。</text>
<title>駕臨訓鍊院書之</title>,<text>萬馬齊嘶細柳烟。畫欄東頭入瑤躔。徐行劒槊飛騰際。高坐雲龍動盪邊。豪傑不生天下大。山河長鞏海東全。三營介冑雄如虎。爭出燕然勒石前。</text>
<title>用上梁六偉韻又題 六首</title>,<text>鍊戎高閣鎭城東。闔闢風雲指顧中。寄語桓桓諸將士。須看三箭破心紅。秋色蒼然若木西。萬家烟樹畫中迷。坐來高處元如許。泰岳嵩山一望低。碧瓦平臨紫閣南。南山佳氣聳層嵐。鳴弓試劒皆從此。手取金壇上將銜。誰遣胡塵滿塞北。春秋時講汾師直。楚頭吳尾問如何。起覘秋空攙搶色。回憶元龍百尺上。曈曈朝日繞金帳。兵家奇正何須論。直送長風捲海浪。水犀裲襠簇戲下。梨花劒氣桃花馬。卽今四海皆腥羶。誰是關山轉戰者。</text>
<title>輦過壯義洞。召見里中人。卽述舊之一道。今日亦如之。申諭後約。將還。唫示。祇送諸人。</title>,<text>楡社東頭駐輦遲。村村懽笑話前期。瓊英勝似花千樹。聽雪梁園授𥳑時。來此。必一踐心臺。多値花辰。今行適大雪未果。爲第二三句及之。</text>
<title>題手圈諸書 幷小序</title>,<text>經而三禮。史而兩京。子而五子。集而八家陸稿。旣批而圈。旣圈而鈔。遂成一帙。其詳在義例。因書七言十韻排律以識之。萬幾餘暇講聲長。閱歷穰穰祕府藏。月窟天根來往計。姬情孔思點勻方。內家筆札紆文墨。上世弦匏記后蒼。篇帙縱橫名手圈。權衡次第整書綱。卜年八百周官制。載籍三千戴禮場。二子程朱傳道統。兩京班馬盛文章。午朝工課猶經史。乙夜精神更縹緗。遂到鹿門張鼓吹。怳看牛坫匝衣裳。從知直諫先推陸。自是宗臣蓋有唐。刪述秖要存聖軌。源頭一畫跡羲皇。</text>
<title>題汶上精舍</title>,<text>城東十里好盤桓。窈窕村容碧樹灣。汶水知爲齊魯半。任他篁韻不須攀。</text>
<title>書揭故相金鍾秀家廟 己未</title>,<text>記昔新元闢草萊。日長山下碩人廻。可憐蕩蕩空空墅。不復春光入酒杯。</text>
<title>謹題敬奉閣 幷小序</title>,<text>閣舊在兩關槐院。一曰敬奉閣。一曰欽奉閣。閣之設。所以尊閣也。卽我寧考義起之盛典也。其詳載寶鑑別編。皇朝誥勑。自高皇帝洪武建元二十五年體天牧民永昌後嗣之詔。至顯皇帝新修會典及出師平倭之詔。隆恩浩渥。東薄于海。海外方數千里。喙息跂踵。凡有血氣之倫。莫不感激愛戴。如天地焉。如父母焉。顧今時移事往。冠屨易置。裳華蓼蕭之詩。不復作於東土。而紫泥黃帕之爲萬世珍藏者。尙不免皇輿之蒙塵。今閣之所揭奉。高皇帝以後御書御畫諸本誥命印本。而金章寶墨。光榮燭地。自令人瞻望徊徨。不翅若曲阜烏號之遺也。槐院圮而閣惟巋然。每過此。愾焉以傷。是歲七月二十有一日晨朝。祇詣皇壇遙拜。顯皇帝諱辰。仍命有司。移構於壇西。而越三日。移奉誥勑于齋殿。仍始工役。不日而告成。其翌日。自齋殿。揭奉如初。遂與提督後孫，三學士金文忠，文正，鄭文𥳑家人行禮。門邃冽泉。陛級重重。怳然若下拜登受。西顧周道。有涕沾臆。玆賦近體一首。以識尊王之義。自有天地生民以來。莫有盛於夫子。夫子之功。莫有大於春秋。春秋之義。莫有重於尊王。凡百有位。尙亦知予之心。而三綱明。九法立。變陰而爲陽。內華夏而外夷狄。未必不肇基於斯閣也云爾。時顯皇萬曆後三己未。江漢朝宗萬里濤。皇恩浩蕩注麟毫。唐堯竝立山河鞏。周稷重光日月高。草木皆知今鰈域。風雲猶帶舊龍袍。昭回北苑瞻新構。百世吾東奉赤刀。</text>
<title>書揭尹忠貞集，鄭文𥳑蘊兩忠臣家廟 幷小序</title>,<text>朝詣冽泉門外行禮。仍審敬奉閣新址。雖是謄鏤之本。皇朝誥勑。藏于皇壇之傍。絳雲靑𥳑。若接昔日皇華之盛。周旋登降。當作何懷。自洪武二十五年。煌煌誥勑。輝暎海山。四牡交馳。視同內服。惟我列祖。是承是述。拱護如彝器。尊閣如大訓。逮至南城之駐蹕也。忠貞公尹集，文𥳑公鄭蘊。言於行在曰。彼若求皇朝誥印。以義爭之。彼必見諒。聖祖奬之。而時危事窘。難以義爭。太王珠玉。不得全有於去邠之時。則此志士仁人所以拊膺長嘷。至於抆血而不知止者也。適當是閣之移建。想古人爲國先事之憂。尤切曠感。李提督，三學士，兩大臣祀孫之參班。昨旣有命。文𥳑後孫。豈可獨漏乎。使之一體參班。騎箕百年。久闕官享。豈非欠典。文𥳑公鄭蘊奉祀孫內贍奉事鄭軾。特除守令。書下七言絶句一首。書揭于忠貞，文𥳑兩忠臣家廟。用示予寤寐不忘之意。日長山色碧嵯峨。鍾得乾坤正氣多。北去南來同一義。精金堅石不曾磨。</text>
<title>題會心老人家狀 幷小序</title>,<text>北山有洗心臺。先卿之會予心。實由玆臺之酒所。而所以會心者。始於不欺心三字。今覽家狀。不覺起感。倣誄文之體以歸之。書下于原任直閣李始源。八旬年自不欺心。會我靈臺遂曠襟。賴有瀧阡新筆力。耿然猶想北山臨。</text>
<title>贈鐵甕府伯徐瀅修</title>,<text>萬丈霞標鐵甕城。城門高闢使君程。江東不遠成都近。熟路輕車送此行。</text>
<title>贈進賀副使徐瀅修</title>,<text>八月星槎鴨水灣。十行遙寄紫泥頒。燕中多少芸香肆。帶得朱書幾種還。</text>
<title>批選杜，陸詩。唫示二直學。</title>,<text>唐宋文章几案間。縱橫靑批好開顔。浣花溪畔多春興。分與紅塵醉夢閒。</text>
<title>將拜獻陵。曉次舟橋。步戊子前韻。以志感懷。二首</title>,<text>鑾蹕秋晴鷺水湄。滿江濡露想前時。依然戊子春三月。十里船開七字詩。羽林旗鼓匝靑烟。龍鳳津樓月上天。却憶廣陵春水外。回瞻梧岫彩雲邊。燈光歷歷江聲動。兵氣森森野色連。漢渡東南松柏永。此時孺慕更多前。</text>
<title>敬題獻陵齋室 幷小序</title>,<text>小子於戊子春。陪先朝展謁本陵。恭賦一詩。以紀其事。今於三十二年之後。踐位行禮。孺慕彌新。謹次前韻以識之。且按伊時聖製之題揭齋室者。聖敎若曰。今日大小臣僚。仰體祖宗盛德。滌舊心於廣津。輔我暮年。隨後者誰。惟我先朝。五紀建極。全保世臣。斂時五福。綏厥萬世。率皆仰述本陵開創守成之豐功大業。而十行雲漢之篇。乃在於親祭本陵之日。則丕顯丕承之謨烈。尙可以仰認於出戶周旋之時矣。玆於五六。敢頌聖德之光前垂後。而仍告有位。俾各一乃心。率乃職。無偏無黨。無從匪彝。偕之大道。同我太平。書曰。惟予一人。膺受多福。此我聖祖所以燕翼我子孫千億。懋昭常訓者也。時予小子卽阼二十有三年之己未仲秋。地自鍾山漢水行。眞龍體勢大經營。禮三十載今朝又。基八千年宿夜聲。薄海豐功仍本本。承天大德曰生生。周旋僾僾於何覿。瑞日秋天萬里淸。</text>
<title>過采露亭志感 幷小序</title>,<text>亭在華城。卽故領相文肅公蔡濟恭別業也。亭以采露名。蓋有意也。每當園幸。輒獻詩章。旣和其韻。又送殽核。歲以爲常。今秋之幸。其人不可復見矣。路次回顧。悵然者久之。文肅與孝安洪相國。爲國中元老。且憶洪相之輒於駕回時。迎於宅外路左。結句及之。仍用進退格。朝日迎華路。淸秋采露亭。風雲千里色。松菊十年情。返駕詩聯韻。行廚酒送馨。同時二老在。壽考際昇平。</text>
<title>題故知敦寧曹允亨家頒賜春秋卷首 幷小序</title>,<text>嘗就春秋。以大字書經文下。附左氏傳。如紫陽綱目之法。仍命文忠公曹漢英之孫知敦寧允亨，忠烈公黃一皓之孫敦寧都正運祚。並書各編爲一部。不徒取其筆也。取家聲也。書旣刊。知敦寧逝矣。撫卷興感。遂題一詩於卷首。以侑其廟云。聖人筆法此麟經。吾道東來揭日星。大字特書新有例。文忠孫子汗幾靑。</text>
<title>賜冬至書狀官具得魯 三首</title>,<text>翩然誰昔故人知。坐閱滄桑幾許移。一任狂瀾迷獸圈。祇看華月在龍池。心無不契虛襟夜。舌到難言對冊時。瘴海十年猶樂土。晩來車馬有前期。念昔數十年前。世道民志無可言者。乃祖故判書超然自拔於衆楚之中。初見銅龍之席。而風雲已融然相合矣。每當入對。對輒欣瀉。晝而竟漏。夜亦跋燭。纚纚其言。言無不罄。往往有人所不敢言。中間風波憂畏。雖不堪其苦。而九重千里。靈犀相通。至今追思。眉眼在心。蒼葭白露。溯洄伊人。而嗟不可復見矣。玆於送別之章。先言疇曩之勝。蓋有微意存焉耳。今爾前程萬里如。麒麟楦豈馬牛裾。勉旃日後子孫計。率乃家中父祖餘。士類由來名敎地。心期自是聖賢書。須將我語趍庭問。知有原明可起予。乃祖夙從士類乎遊。曠襟疎韻。有非脂韋氣味。書狀年妙發軔。風姿也不草草。若以乃祖之心爲心。其於邇遠之事。何有哉。聞乃父甚肖。嘗所嘉之。乃於結句。又此申申云。玉帛年年走北槎。誦詩三百掩皇華。陰山不盡匈奴氣。易水猶傳壯士歌。積雪大凌河上駐。淸風孤竹廟前過。中原父老方思漢。寄語行臺費揣摩。近聞燕軺贐章。無道春秋之義者。此亦可以觀其世矣。雖空言無補。自有維持之重。如書狀者。不可以不知此矣。</text>
<title>春秋完讀日。慈宮設饌識喜。唫示諸臣。幷小序</title>,<text>予於三餘。輒課一帙之書。歲以爲常。而手選諸書。必印頒中外。蓋亦振文風矯俗習之苦心也。書旣頒。躬先誦習。爲一世準。乙卯。新印朱書百選。而十月二十八日始讀。再翼月十有六日完讀。凡四十有九日。丙辰。新印五經百篇。十一月十一日始讀。翼月初八日完讀。凡二十有八日。丁巳。新印史記英選。十月初八日始讀。再翼月二十七日完讀。凡八十日。戊午。新印八子百選。十一月初吉始讀。翼月十五日完讀。凡四十有五日。己未。新印春秋。新印以前讀數回。十一月十八日更讀。十二月初八日完讀。凡二十日。左氏史也。雖近於朱子所謂千里一曲。致慨於明招堂上。而先經後傳。吾有吾心之春秋矣。於是乎予印予讀已告功。自明年有新印。當如右爲例。顧精力未能如宿踐也。記昔幼少時。讀完一帙。慈宮輒設小饌以識喜。俗所稱冊施時之禮是也。朱子以長子受之。送學於東萊。而付送一角之茶三十觔。卽此意也。今日以有事輒聞之義。告慈宮以春秋之完讀。慈宮視小子若幼少時。略備酒餠如村樣。遂與監印懸讀諸人。共嘗之。戲是綵衣。老萊之所以悅母也。喜動簾幃。紫陽之所以壽母也。旣獻岡陵祝于慈宮。因書此。要與諸人和。侍食諸君子。能知此會歟。伊吾完一帙。工課殿三餘。每夜光明燭。今年左氏書。慈心識喜事。萊舞九詩如。</text>
<title>賜知中樞洪緯浩 幷小序○庚申</title>,<text>永安都尉玄孫知中樞洪緯浩。今年爲九旬有二。老職資至一品。特除知樞。於其肅拜也。用一坐再至之禮。與其子戶議洪樂恒登筵。戶議年亦七十三歲也。德門多耆耇。卽亦慈德攸致。詩以志其吉祥。老人星見斗之南。晩得兒年七十三。朝拜龍樓仍獻祝。冊儲今日壽多男。</text>
<title>社壇祈穀日。唫示諸臣。幷小序</title>,<text>正月。七十二候之始也。元日。三百六旬之初也。七而爲人。八而爲穀。穀者。人之司命也。穀日得辛。肅將祈年。致齋於人日。而瑞雪隨輦。嘗見柳應芳詩曰。人日逢晴勝。不晴雪亦嘉。遂和其韻以志喜。穀日仍祈穀。人逢七日嘉。知今年大有。壇木雪生花。</text>
<title>拜園告喜還。御奉壽堂。用乙卯永興本宮志慶韻。題長樂東楣。時庚申上元後二日。</title>,<text>周家三善漢重离。遂續生民下武詩。禮廟殿宮承駿命。慶千萬億受鴻祺。今行欲報无疆喜。此日難爲不洎思。明發華城回首遠。遲遲臺上又遲遲。</text>
<title>北苑齋夕。唫示諸臣。幷小序</title>,<text>后山詩。大家也。古體也。豈可以讓於𥳑齋少之哉。齋居苑舍架上。適有舊藏陳氏集。抽出一韻之有似乎卽景者。命內閣銀臺隨來諸臣和之。取其軸覽已。仍用其韻。漫書以還之。風泉三月夜。春雪畫堂深。動盪魚龍氣。句萌草木心。齋居仍感慨。時序自晴陰。魯國存周禮。歌詩頌伯禽。</text>
<title>御春塘臺。設人日製有唫。幷小序</title>,<text>庚申春。設科取士。所以志慶也。初試分三所。一所爲南宮。而通樞府至于光化門外。遂及京兆前路。布以爲城。赴擧者三萬二千五百九十八人。呈券者爲一萬三千七百三十有七。二所爲太學之丕闡堂。至大成殿門外。及于香橋。赴擧者三萬九千八百七十人。呈券者爲一萬五百二十。三所爲明倫堂。至于食堂之橋。遂及碧松亭。幷用布城如右。赴擧者三萬九千三百七十人。呈券者爲一萬四千三百五十有七。合三所赴擧十一萬一千八百三十八人。呈券三萬八千六百十四。自試圍以來。觀光之多。未有如此者。人製卽初試之翌日也。設場於春塘臺。自觀德亭至觀豐閣。赴擧者十萬三千五百七十九人。呈券者爲三萬二千八百八十有四矣。京二千二百十一。京畿三千五百八十六。海西三千一百十一。關西三千一百七十三。湖西六千九十六。關東一千二十五。湖南四千七百。嶺南五千二百三十一。北關如關東。華城三百六十八。廣州三百五十六。松都二百十。江都九十。濟州三。不書居住者七百六十有六。可謂壯矣。以鎬京辟廱自西自東自南自北。揭賦題。將於京鄕。取壯元各一人賜第。其次三下一百人。付初試。京十畿十。海西關西各八。湖西十一。關東七。湖南嶺南各十一。北關八。華城五。廣州松都江都各三。濟州二。又其次次上各人施賞。排比京鄕。如三下之例。惟濟州減一。華城加一。而考券拆榜之先海西，關西，湖西。次關東。次湖南，嶺南。次北關者。用詩經本章所喩。遂拈人字以賦之。春臺物物摠陽春。南北東西利用賓。如海廣庭三萬券。阿誰忠孝壯元人。</text>
<title>領議政李秉模奏請之行有詩 二首</title>,<text>春月冊儲禮。嘉辰奏請行。藉卿元輔重。侈我使華名。三百詩專對。公私喜與榮。言還似言邁。穩穩趁秋淸。燕京萬里路。軺舝又三膏。鶴野花連旆。凰城柳拂袍。節宣知努力。奔奏仗賢勞。執玉因邦慶。煕運幸今遭。</text>
<title>謹和朱夫子詩 八首</title>,<text>春日原韻勝日尋芳泗水濱。無邊風物一時新。等閒識得春風面。萬紫千紅摠是春。熊禾曰。物理之表裏精粗無不到。瑤琴攜過玉溪濱。樂意相關鳥語新。粟顆芋頭涵理妙。渾然三十六宮春。觀書有感原韻昨夜江邊春水生。艨衝巨艦一毛輕。向來枉費推移力。此日中流自在行。熊禾曰。義理熟時。知自致而自然好。庭前竹樹太疑生。一羽輿薪孰重輕。道不遠人人自遠。回頭是岸岸頭行。寄胡籍溪原韻罋牖前頭翠作屛。晩來相對靜儀形。浮雲一任閒舒卷。萬古靑山只麽靑。熊禾曰。誠意者有主宰而通動靜。玉鑰金關一疊屛。主翁閒坐視無形。春來物物皆生色。取次牛山草樹靑。武夷櫂歌第四曲原韻四曲東西兩石巖。巖花垂露碧㲯毿。金雞叫罷無人見。月滿空山水滿潭。熊禾曰。正心只是無昏昧散亂。幾曲淸溪幾曲巖。花盈盈處柳毿毿。朗然魚鳥披襟久。直到雲光瀉碧潭。入瑞巖道間原韻淸溪流過碧山頭。空水澄鮮一色秋。隔斷紅塵三十里。白雲黃葉共悠悠。熊禾曰。審其幾而無五辟。則身自修。伯鐵王金好點頭。三皇五帝一春秋。審却幾微從此路。萬山紅樹興悠悠。壽母生朝原韻敬爲生朝擧一觴。短歌歌罷意偏長。願言壽考宜孫子。綠鬢朱顔樂未央。熊禾曰。齊家之本。在父母其順。萱堂和氣捧瑤觴。觴挹南山獻壽長。秖願年年如此好。遲遲春日殿中央。蔡氏婦家原韻葱湯麥飯兩相宜。葱養丹田麥療飢。莫道此中滋味薄。前村猶有未炊時。熊禾曰。文王視民如傷而無凍餒。一風一雨與農宜。上瑞黎民不阻飢。蔀屋生涯如在眼。晦翁葱麥幾多時。石廩峯原韻七十二峯都揷天。一峯石廩舊名傳。家家有廩高如許。大好人間快活年。熊禾曰。民富則禮義措而天下平。漢陽三角際靑天。露積峯如石廩傳。積廩四方謌笑裏。立春新帖願豐年。金弘道工於畫者。知其名久矣。三十年前圖眞。自是凡屬繪事。皆使弘道主之。畫師例於歲初。有帖畫寫進之䂓。今年弘道以熊勿軒所註朱夫子詩。畫爲八幅屛風。深得聚星亭餘意。旣書原韻。附寫和章。以爲常目之資云爾。</text>
<title>積雨新晴。唫示諸臣。幷小序</title>,<text>積雨新晴。雲開萬里。對此欣然。若可以濯塵垢而淨俗陋也。數昨臨筵。洞言矯俗不率敎之弊。固知欲革心者欲暴而無以自致。欲革面者欲改而迷於其方。狃於見聞者。懦則怯。頑則忍。而雖覺有先後。終當歸於一軌。顧靜坐默想。其喙喙聒聒之狀。好供一噱。比之曩也。縮稜藏鱗。如睡若眠之時。以吾日飮赤冰幾鉢。黃連幾貼之熱肺煩腔。差覺有爽意。以一詩記之。長安大道平如砥。積雨新開長安市。飛空銀索十日圓。一注鴈宕千丈水。溟渤動盪魚龍窟。江漢蒼漭牛馬涘。西風夕撼大塊來。空闊炎雲九萬里。使我披襟芙蓉殿。洞庭君山不盈視。紛紛倚伏春明外。珂馬旖旎誰家子。九門御路當中出。揭我明命而顧諟。天人一理新氣色。囅然以笑充然喜。未央宮陳斬蛇劒。塗山車載防風氏。春王正月大一統。天下同文與同軌。湯以解網不用命。詩曰邦畿民所止。婉婉欲伏轅下駒。角角自鳴山上雉。須看皇極康而色。敢爾千樹爭紅紫。蓋聞修道之謂敎。禮樂刑政而已矣。</text>
<title>慈宮臨華城行宮。進饌樂章。乙卯</title>,<text>嘉會屬昇平。昇平今有象。厥象問如何。老人中天朗。宮。 含飴駐我長樂春。祝聖徠女華封人。商。 春長長樂酌斗。華祝至三壽母。角。 翼子詒孫功何巍。穰穰福祿光輝。徵。 咸池鼓雲門琴。玉漿璚液年年斟。羽。長樂五章。一章四句。四章章二句。先唱。慈德之純。厚載難名。默運弘慈。佑啓太平。宮。 百祿是遒。其至如川。子孫振振。吉慶年年。商。 如斗之邵。如嵩之高。瑤冊紀瑞。春酒燕毛。角。 於休慈德。撫玆花甲。時觀于華。物采匝匼。徵。 樂此新邑。謠頌戶增。維萬維億。日月恒升。羽。觀華五章。章四句。後唱。</text>
<title>慈宮周甲進饌樂章</title>,<text>我有老萊衣。萬年慶韶光。宮。 雞人報曉籌。上堂偕元良。商。 是日回瑞甲。滿國齊祝岡。角。 調味瓊液瀜。佐肴蟠桃圓。徵。 一酌一酌復一酌。一酌萬年三萬年。羽。老萊衣五章。章二句。先唱。三萬年又億萬年。年年此日長此筵。宮。 一願宗國如磐石。再願子孫如軒文。商。 情話仍燕喜。衆賓來如雲。角。 灩灩太和釀。秩秩無聲樂。徵。 慈德享天心。子孫受多福。羽。萬年五章。章二句。後唱。</text>
<title>慈宮周甲日致詞 乙卯</title>,<text>華宮餘祝。花甲深尊。歡承壽母。功隆詒孫。同我嘉賓。拜獻千千。</text>
<title>朱子會選四十八卷 寫本</title>,<text>自朱子大全之行於世。後儒瓚享譜承。各有鈔輯。中州則魯齋王柏之紫陽書詩類。錫山高攀龍之朱子節要是已。我東則先正李滉之朱子書節要。先正鄭經世之朱文酌海。先正宋時烈之節酌通編是已。其去取詳略。要皆有據。而若論參合諸選。備有體裁。可以嘉惠來學者。其必先數通編乎。然朱子於騷賦詞操。不事聲格。而自中於身律聲度之間。天然各臻其極。與三百篇相上下。而通編獨闕焉。予在春邸。命賓客徐命膺選騷賦詩諸篇。冠之卷首。而朱書節要。務主精約。故篇牘之遺漏可惜者酌海。復采入焉。今若一例混置於原集。無以見二先正取舍之意。別爲補入於別集之下。名曰補編。至如大全外遺文逸編之散出雜書者。依朱子裒輯程氏外書之例。鈔載若干編。以資博聞。名曰外編。蓋此書䂓模序次之一從大全。所以存其本也。鈔刪之參互諸家。所以集其長也。書旣成。總名之曰朱子會選。右甲午編</text>
