<title>夢作</title>,<text>長風九萬里。吹月度千門。何處一聲笛。東方欲破昬。</text>
<title>心樂事三韻。次老牧樂村蟾村。</title>,<text>江水悠悠去。層臺俯碧潯。洗空憂世意。流送戀君心。昨夜已昬飮。今朝更細酌。東臺初日明。留坐看魚樂。白髮四老人。江湖淸滿地。但願世昇平。餘年無一事。</text>
<title>翌日臨罷。次蟾樂用心字韻。</title>,<text>籃輿下沙岸。藜杖倚松陰。政注相望眼。那堪欲別心。暮雲看漸遠。流水意俱深。且愛波間鳥。雙雙泛復沉。</text>
<title>次贈金正履萬</title>,<text>拙宦軍資正。靑袍映皓鬚。居鄕如處士。卜宅近名湖。濟死惟囊藥。吟詩獨據梧。天書時一召。騎馬取京途。</text>
<title>牛灣族孫敏材，簡材兩君。冠其兩子。蟾樂翁爲賓。余領兒子往赴。簡君賦詩記事。蟾翁有和。余亦和之。</title>,<text>階上兩冠者。湖邊十月辰。吾家自有禮。令舅來爲賓。並立容儀整。交修德行新。竆鄕傳美話。此事罕朝紳。</text>
<title>牛灣歸路。舟下州村。</title>,<text>歸棹乘流過幾村。村煙野樹正黃昬。不愁十里江行遠。明月隨人夜到門。</text>
<title>再疊</title>,<text>牛灣歸路下州村。水冷風高暮色昬。船上背看神勒寺。依依如過故人門。</text>
<title>三疊</title>,<text>淡月疎星兩岸村。西風吹散薄雲昬。高歌一曲詩三首。已泊輕舟柳下門。</text>
<title>癸酉除夜。用蜀州韻。</title>,<text>身外浮榮等一眠。恩資今日又胡然。江湖白首揮雙涕。忍憶先朝侍從年。近因肅廟追上徽號。仍推恩先朝侍從諸臣各加一資。賤臣亦在其中。故云。</text>
<title>甲戌二月二十九日。又成耆會于梨湖。敏材隨至。槐山守李景淳亦會。共用富公古絶韻。</title>,<text>丈夫有能事。致身經濟地。利澤及於人。明良相際會。而余獨何爲。永謝軒冕貴。半世浮遊跡。山亭與水寺。彼固有命焉。我寧爲其次。人生所可樂。莫大乎無事。江湖漁釣業。𤱶畞黍稷藝。陽春始布澤。更見乾坤惠。東風解氷雪。江水深無底。仙侶來繫舟。林齋又置醴。風流槐州守。五馬亦戾止。長嘯復浩歌。自謂天放子。擾擾塵世間。回視一莞爾。箕山與穎水。高風吹萬祀。又成耆會沂川上。春日冠童凡幾雙。自古江山稱第一。一州諸勝下風降。</text>
<title>李同福 渘 哀章</title>,<text>小岳樓主翁。去秋奄忽。訃書及輓幅。今夏始至。顧念舊遊。曷勝愴怛。老廢人事。無由往哭。追輓非古。還其紙本。亦不忍無一言。遂用昔年和老杜岳陽樓詩題小岳樓韻以哀之。不見吾君久。凶音忽野樓。世間詩老盡。湖上此生浮。春日岳陽榭。秋宵赤壁舟。瑤琴絃已斷。空憶舊風流。</text>
<title>將遊龍門山。渡江口號。</title>,<text>花外小車數騎陪。淸江一棹興悠哉。餘生此世無他願。歲歲龍門一往回。</text>
<title>尹景平哀章</title>,<text>分我湖邊宅。知君世外心。風埃雖咫尺。雲月卽胷襟。身計僧俱淡。時憂水共深。云亡違一哭。城市斂棺衾。</text>
<title>韓大叔 億增 哀章</title>,<text>牧友有書至。爲言韓令亡。平生惟一面。痛惜自中腸。律己知心苦。懲奸見志剛。好人日彫謝。先哭景平喪。</text>
<title>徐汝思 宗伋 譴補湖西水閫。投示遣懷四律。其一屬余。步韻卻寄。</title>,<text>知君快若脫籠樊。安得高懷相與論。世上簪纓雖未謝。眼前湖海已平呑。衰年氣卻增豪爽。春日詩來警惰昬。差喜姓名書在壁。一堂如接笑語溫。余昔屢登永保亭。有詩揭壁。故第七云。</text>
<title>李懷仁 炫 輓</title>,<text>六載懷仁縣。銅碑百世思。明廷少公道。深巷任長飢。末路交仍息。竆途志不移。昔年惟一面。遺範見賢兒。</text>
<title>贈別洪君叔圖 得河</title>,<text>閤裏寒梅魂欲還。擬携諸子醉花間。花猶未發君今遠。獨掩深齋雪滿山。</text>
<title>除夜數子來會。用高蜀州韻。</title>,<text>百歲怱怱等一眠。何須惜老意愀然。只祈朝野長無事。且養丘中草木年。</text>
<title>疊</title>,<text>時憂耿耿不能眠。追念先朝更泫然。負罪賤臣言不可。微軀何敢惜餘年。</text>
<title>到韓成汝 玉 宅</title>,<text>茅屋開門待我行。中春盡罷畬耕。靑牟田畔老尨睡。芳草溪邊童子迎。</text>
<title>自慨</title>,<text>半生憂世幾回腸。偶竊科名分豈當。若使活民才術在。終身何苦守村庄。</text>
<title>數日連以小艇。沿洄前江。頗覺疏暢。適叔圖來同舟。呼韻賦詩。</title>,<text>小舟沿遡不嫌頻。出浦波光滿眼新。此事江湖惟取適。又看登釣有銀鱗。</text>
<title>又登釣舟。釣伴數人。同登。用前韻寫興。</title>,<text>門前湖水泛舟頻。釣伴爭來釣具新。今日始酬漁子號。笑看絲抄上纖鱗。</text>
<title>雨後。又泛舟。疊前韻。</title>,<text>聞說明廷討罪頻。太平光景一時新。江湖漁釣眞吾分。乘運羣才競躍鱗。</text>
<title>再疊</title>,<text>入浦輕舟上下頻。村容水面雨餘新。江魚不用靑錢買。細柳斜穿三兩鱗。</text>
<title>對元靈。用孟襄陽韻。</title>,<text>露滴槐陰爽。風回麥壠淸。宿雲歸野峀。初日上江城。稼穡知豐熟。昇平賴聖明。時憂莫浪說。老子欲忘情。</text>
<title>與敏材，金叔平子靜 亮行 諸君。小會淸樓。仍以小艇乘漲而下。亦一快事。次樓上牧隱韻。</title>,<text>人憑百尺高樓端。六月江風爽滿顔。自古浮空欄下水。新晴如畫岸邊山。蒼茫眼界驪楊際。浩蕩詩情圃牧間。歸棹悠然乘漲下。一生難得此淸閒。</text>
