<title>丁未八月。夷山邑人來送于終浦驛。口號贈別。</title>,<text>邑子隨我來。送之終浦驛。臨分不忍分。相對淚雙滴。</text>
<title>次病卧韻。換題作野居。</title>,<text>知魚言是寓。歌鳳意非狂。安月元今栗。澄波卽古漳。熱膓都似火。衰鬢不關霜。所冀吾王聖。寰區得少康。</text>
<title>次春雪韻。換題作謾吟。</title>,<text>中宵心北極。嚮日夢南柯。新貴朝端得。故人泉下多。懷金皆效密。泣玉孰憐和。世事須休道。不如但醉歌。</text>
<title>次春夕有懷韻</title>,<text>日遲催柳色。風暖入花心。漸覺韶華晩。其何老病侵。有人傳札至。聞子抱疴深。幸願加餐飯。休煩費苦吟。百年風過耳。萬事雪渾頭。濟世元無策。傷時謾有愁。謗應非酒祟。窮豈坐詩由。旣服尤人戒。唯宜責己周。</text>
<title>每夜誦杜詩數百篇。故次叔九韻以詠。</title>,<text>誦詩日有程。晨坐到雞鳴。一洗齊梁習。獨振正始聲。細看知妙韻。熟讀見眞情。忠義爭秋色。千秋仰北征。</text>
<title>送奏請副使吳侍郞貫之 道一○中宮復位。朝庭遣使奏請。時甲戌。</title>,<text>萬里遠行役。十年再可堪。坤儀幸復整。王命不辭含。忠信平生仗。山川宿昔諳。賢勞君莫歎。努力早回驂。</text>
<title>送徐尙書道允 文重 赴燕</title>,<text>奉命辭天陛。催程動使車。去時衝雨雪。來日趁烟花。報主甘循國。輕身且忘家。平生忠信仗。此別莫咨嗟。</text>
<title>次無庵見示</title>,<text>虛堂倚枕孤吟。擧世誰知我心。囊錢不問多少。酒盞惟論淺深。叫月羣鴉閃樹。驚霜獨鳥投林。半壁燈殘欲滅。小爐灰冷烟沉。老去詩情頓减。病餘酒興猶顚。白愛圓沙宿鷺。靑憐遠峀生烟。東𦤎落日舒嘯。北牖淸風卧眠。從玆塵慮消了。俗物茫茫眼前。</text>
<title>奉送堂叔出補機張</title>,<text>昔時騎省郞官淸。今日機張太守行。朝入楓宸辭聖主。暮臨琴閣撫疲氓。天連鯨海波濤湧。地接蠻邦瘴癘橫。養性怡神知第一。善防風氣莫傷精。</text>
<title>大殿端午帖</title>,<text>紫闥深嚴晝漏長。一年佳節屬端陽。周郊雨足桑麻盛。舜殿風薰日月光。千官拜賀歡聲匝。萬福來同赫業昌。野老不知歌帝力。侍臣惟喜襲天香。</text>
<title>領舍妹于歸之。行向水原。路上有詠。</title>,<text>海天風色暮蕭蕭。遠望平郊路一條。歲晩窮陰渾晝夜。日寒行客怯晨宵。壑呑飛雪能成阜。溪拖長氷自作橋。頻向僕夫問遠邇。擧鞭南指黑山腰。</text>
<title>歸路有詠</title>,<text>昨日凌兢向水原。今朝邐迤指衿川。遠留舍妹離思苦。近逼吾家客意牽。飛雪撲人輕似霧。亂雲歸海薄如烟。辛勤豈憚長程險。却恨征鴻不作聯。</text>
<title>曾與趙元鎭有道峰之約。而病未克赴。郊居冷薄。草屋蕭條。簞瓢屢空。愁寂不寐。率爾成興。</title>,<text>貧者由來固士常。一瓢生計太凄凉。破窓紙薄容風力。踈屋茅稀得月光。病卧秋冬親友隔。苦飢朝暮瘦妻傷。窮愁著述要言志。獨坐沉吟㤪夜長。</text>
<title>與諸益同棲道峰書院。南雲路 九萬 首拈宗字韻。諸君皆和之。余亦不揆謭劣。敢擬效顰。</title>,<text>院裏今朝邂逅逢。八公詩格捴文宗。人間辦得千年勝。海外移來九曲峰。一派源泉元混混。萬山林樹自重重。從知此會誠難再。拂袖何時躡舊蹤。先生當日得遭逢。道德文章世所宗。元禮風流如昨日。紫陽祠廟此高峰。溪含舊恨流千古。山帶新愁幾萬重。吾黨二三同景仰。悵然何耐撫遺蹤。百代知音未易逢。雷陳膠㓒至今宗。諸公並出俱東國。此地相看卽道峯。文汲波濤貧萬壑。筆摧山岳失千重。疎慵却幸芳塵忝。蘭室襟期邁古蹤。附元韻趙君淸範幸相逢。何况風流仰嗣宗。元鎭高名齊禹寶。潘南勁翰敵鰲峰。素知金子聲輝赫。又有阿能譽望重。師友諸賢眞忝竊。疎慵却喜廁仙蹤。</text>
<title>西望憶潘郞 課製。代人。</title>,<text>重泉不見修文郞。風雨如今鴈失行。竹葉謾留樽裏色。菊花唯葆歲寒香。新詩在世能開眼。佳節令人只斷膓。景物依然堪髮白。登高却自淚沾裳。</text>
<title>贈別鰲樹察訪李德茂 雲臨 之行 己亥年</title>,<text>征馬騑騑指古郵。驛樓斜日鴈飛秋。霜酣落木寒聲緊。雨打殘花暝色浮。昔歲芹宮同講習。此時蘭室失追遊。臨岐不敢携壺別。遏密方纏杞國憂。</text>
<title>辛丑四月北征時。行到鍾岩有詠。</title>,<text>鍾巖千古立崢嶸。好事何人巧琢成。雨洗苔痕微有迹。風敲沙面自無聲。元非洛水銅傾應。不是豐山霜落鳴。千里鬼門歸去路。斜陽獨立倍傷情。</text>
<title>行到道峰山下。瞻望靜庵先生書院。悵然有感。</title>,<text>道峰蟠屈翠磨天。祠宇凄凉立短椽。曾向院中尋舊迹。還從山下憶前賢。卽今遠謫三千里。撫古沉吟幾百年。北望長安歸路隔。日邊消息有誰傳。</text>
<title>過白鷺洲。水石頗有幽趣。翫而樂之。吟成長律。</title>,<text>白鷺洲邊白鷺羣。明沙十里雪紛紛。山頭翠靄粧新畵。石上蒼苔印舊紋。客子停鞭天欲暮。僕夫催駕日將曛。孤臣北去何年返。謾效封人祝聖勛。</text>
<title>宿永平梁文驛。中表兄李士榮 泰華 氏。自麻田聞余發行之奇。度其行暮當至此。馳馬來別。顚倒出迎。驚喜不自定。仍與之同宿叙懷。吟成一律。</title>,<text>吾兄憐我長沙謫。載酒慇懃送遠行。今夜連衾偕作喜。明朝分袂若爲情。悠悠此別將千里。脉脉相看達五更。月黑燈殘終不寐。忽驚初日照窓明。</text>
<title>早朝蓐食發行。與李兄幷轡而出。行未數里。各自分岐。馬上相揖。揮淚而別。寫得留別詩一篇。</title>,<text>弟兄分手泣相看。衛士臨門促馬鞍。千里關河勤跋涉。百年人世足悲歎。嚴程有限留何敢。別意無窮寫亦難。塞外秋風多鴈使。寄聲他日報平安。</text>
<title>詠錦奎山 因士榮氏。聞丙子亂。居民走入避。免鋒鏑。且峯巒秀異。欝然可愛。故云。</title>,<text>錦奎山色翠磨天。一帶峯巒十里連。澤物恩敷春夏際。庇民功著丙丁年。嶄巖自是爲邦鎭。登歷無緣住客鞭。他日夢魂來去路。莫遮京國任翩翩。</text>
<title>行到城橋。橋下水深數尺。淸澈可愛。聞其水源出自白雲山云。因吟一律。</title>,<text>溪源初自白雲山。活活東流去不還。遲旭暎波虹影落。長風敲石水聲殘。年光忽忽空相促。行役遙遙詎得閒。千里關河垂淚過。偶逢佳景暫開顔。</text>
<title>夷山謫裏偶吟</title>,<text>虛川謫客獨醒翁。雲寵惠山遊覽窮。遠近峰巒出天際。深淺灘潬咽地中。大醉同仁堡外酒。仍醒內笠嶺頭風。腐儒白首終何用。但願祁連早掛弓。雲寵，惠山，同仁。皆鎭名。</text>
<title>感懷</title>,<text>風打寒窓雪擁扉。晨星落落隔朋知。虛弦隳鴈傷弓㤪。明月投人按劒疑。自有世間名敎樂。何須塞外旅遊悲。由來三黜曾無慍。直道吾聞柳士師。</text>
<title>八月二十五日感吟</title>,<text>客裏幽懷不自禁。謾將詩句苦沉吟。庭闈樹老靑春暮。殿陛雲浮白日陰。華髮由來甘落拓。素書傳去幾浮沉。歸䰟不道山川隔。千里鄕關夢獨尋。南國秋光尙未闌。北風邊雪已催寒。書傳鴈足三千里。道險羊膓八百盤。老去便能詩律細。愁來聊借酒杯寬。窮途罕遇知音客。回首東門有一韓。東門外。敎官韓文郁居之。故云。</text>
<title>九月二日。聞元子誕生。</title>,<text>周家麟趾頌振振。瓜瓞綿綿一萬春。神聖元年當己亥。元良生日過壬辛。重輝星月明黃道。獻賀臣隣拜紫宸。未死丹心餘一寸。澤邊憔悴泣孤臣。毓德堯門吉夢宜。元良岐嶷應昌期。无疆赫業千年慶。有道曾孫百世支。小海波瀾掀胄觀。前星光彩壓書帷。臣隣抃舞謳歌啓。獨恨孤蹤阻盛儀。</text>
<title>十二日夜吟</title>,<text>謫裏生涯百味酸。旅窓風雪客衣單。長空鴈斷三秋盡。疎屋雞鳴五夜殘。病僕朝來愁地凍。老妻晨起怯天寒。誰人解此心中事。爲把淸樽強自寬。</text>
<title>十三日朝梳頭感吟</title>,<text>短髮蕭蕭不滿簪。淸晨梳罷淚盈襟。光陰荏苒頭邊過。霜雪分明鬢上侵。痛飮乾坤唯有酒。狂歌宇宙孰知音。男兒窮達須安命。莫把榮枯亂我心。</text>
<title>醉興</title>,<text>壯士悲歌意轉雄。孤城落照惱丹衷。胡山白處何年雪。木葉飛時盡日風。客裏揮毫詩泣鬼。醉中看釰氣成虹。仰天大笑還長嘯。萬里乾坤老眼空。</text>
<title>秋夜有感</title>,<text>遠客思家久未歸。塞天寒雨暮霏霏。人心翻覆無今古。朝議紛紜有是非。京國音書長寂寞。故園風物想依俙。君恩北望三千里。夢裏威顔咫尺違。</text>
<title>兵相來訪。詩以謝呈。</title>,<text>䧺鎭西門鎖鑰牢。金城千里屬時豪。風雲動色軍容壯。草木知威陣勢高。關外多年靜刁斗。帳中無事酌葡萄。觀兵有暇還相訪。自愧殘形映錦袍。</text>
<title>贈惠山僉使權克用</title>,<text>投筆當年志遠圖。請纓何日擊東胡。人安得識眞男子。天不虛生大丈夫。靑海波聲愁裏曲。白頭山色夢中模。蹉跎莫恨身將老。萬戶猶爲勝腐儒。</text>
<title>南道節度使惠送白粲。以詩謝呈。</title>,<text>南關稻米白流脂。北峽雕胡軟可炊。窮途自此須休哭。久客從今不怕飢。楚國莫誇長爨玉。吳門誰復苦吹箎。無緣就謝殷勤意。瞻望戎軒感淚垂。</text>
<title>寄前甲山府使趙偉元 裒</title>,<text>太守今陞虞侯行。雙㫌隨馹指鍾城。三年客裏紆深眷。一夕江頭惱別情。身縶遐荒吾獨老。眼無沙磧子眞英。殷勤更抆風前淚。滋筆題詩遠寄聲。</text>
<title>送張生友翰歸家 負笈來學者有年</title>,<text>秋盡邊城送爾行。此時遷客暗傷情。白山雪色天將暮。靑海波聲地欲傾。好去專心須勿怠。歸來刮目卽相迎。立身揚顯男兒事。莫向田園枉一生。</text>
<title>趙嶷望 世煥 出宰夷山。塞外相逢。驚喜不可量。爲作一律以呈。時丙午十二月二十三日也。以下夷山酬唱錄。</title>,<text>聖主洪恩及裔荒。特令詞伯共彷徨。故鄕此去幾千里。異域相逢餘十霜。疾病飢寒吾已飽。艱難險阻子應甞。一樽前夜論文興。却訝身飛在洛陽。附次韻塞邑蒼茫接大荒。誰知與子此徊徨。淸尊坐待三更月。白髮偏驚兩鬢霜。嶺海辛酸憐客久。泮宮追逐記吾甞。雪窓相對渾如夢。桃盡寒燈說漢陽。</text>
<title>二十四日。又用前韻奉呈。</title>,<text>故國歸程夢裏荒。澤邊風雪起彷徨。䧺心未老頻看劒。壯髮先秋半帶霜。忽遇良朋憐我困。却將盃酒勸吾甞。今宵準擬挑燈話。悄倚虛窓送夕陽。</text>
<title>二十七日。述懷奉寄。</title>,<text>澤畔行吟泣楚臣。雪山氷谷與誰隣。三千里外相逢地。一十年前同苦人。欲話舊遊增感慨。只將新勾費吟呻。煩君莫說升沉事。否泰由來有互因。</text>
<title>二十八日。遣悶奉呈。</title>,<text>我謫夷山歲六周。豈知今日得良儔。窮途不怕飢寒辱。厚意頻蒙禮數優。剪燭屢成鈴閣話。觀燈却憶泮宮遊。明宵守歲雖難就。肯把屠蘓慰客愁。</text>
<title>丁未正月初三日</title>,<text>使君風彩一時豪。宵旰分憂屬望勞。經席少人思暝眩。籌樓多暇酌葡萄。淸談屢下陳公榻。故意何須范叔袍。此日相逢眞有數。不妨携酒作遊遨。</text>
<title>初九日夜造衙軒。歸來有詠。翌朝書呈。</title>,<text>夜深扶杖獨歸來。謫裏生涯只可哀。病婦提孩攀壁立。懶兒拋卷倚床頹。弊爐灰死吟魂冷。破竈烟寒凍骨摧。唯有主人勤念我。肯敎陰谷見春廻。</text>
<title>嶷望次來字韻見寄。奉和以呈。</title>,<text>擧酒消愁愁又來。獨醒何事使心哀。身留楡塞甘長棄。夢入衡門已久頹。佇看驥蹄千里展。自憐鵬翼半天摧。淸宵東閣從容話。不似山陰雪棹迴。附元韻儂猶遊宦子奚來。此地相逢正可哀。謫裏幾看新月滿。客中翻覩舊年頹。形容憔悴初難識。意氣軒昴尙不摧。東閣閒時無客到。休嫌步屧日頻廻。</text>
<title>十三日立春。偶見明律。有立春詩。卽次奉呈。</title>,<text>天涯剩飽風霜苦。七載愁看塞外春。此地相逢均是客。曩時同伴有誰人。殊方日月催年老。故國烟花入夢新。東閣已知高下榻。葛巾藜杖不嫌頻。</text>
<title>二十二日。余得寒疾。苦痛數日。伏枕無聊。吟得一律。使兒子書呈。因欲發表。兼借金銀花。</title>,<text>暮境偏憐二竪侵。閉門頹卧掩重衾。愁邊易得思親淚。病裏難堪去國心。日落虛簷唯鳥度。雪深窮巷少人尋。銀花最妙驅寒藥。肯惜刀圭直萬金。</text>
<title>二十四日。再次前韻。</title>,<text>客堂深夜覺寒侵。惡卧嬌兒踏破衾。眼冷北辰長引頸。夢懸南國遠傷心。興闌工部隨春步。病廢山陰冒雪尋。永好忽承瓊玖報。堪嗟一字逾千金。</text>
<title>二月初二日釋菜。罷齋後奉寄。</title>,<text>今代文翁第一豪。絃歌百里試牛刀。儒風丕振矜多士。明德惟馨薦大牢。只爲竆民除積弊。豈緣私事犯秋毫。行看不日天書降。金玉輝煌映錦袍。</text>
<title>復次前韻要和</title>,<text>文武才全意氣豪。邊封無事卧弓刀。胷藏萬甲風雲變。身作長城鎖鑰牢。月滿南樓頻引客。春晴東閣但揮毫。故人情味竆途見。感淚空敎灑滿袍。</text>
<title>初四日。乃千秋聖節也。有感作此詩。寄呈要和。</title>,<text>昔在銀㙜歲在辛。微蹤何幸廁羣臣。千秋日至看金鏡。萬歲山呼動玉宸。時際風雲瞻聖節。恩分雨露醉佳辰。卽今放逐三危地。泣血無由獻此身。長沙七載飽酸辛。斷斷誰憐一介臣。拱北誠懸悲白首。圖南路絶拜彤宸。千秋聖節逢今日。萬壽華筵憶此辰。秦樹樓臺何處是。澤邊風雪獨愁身。</text>
<title>初七日。東宮冊封。頒赦敎書至。此實宗社臣民之大慶。遂吟得二律。奉呈要和。</title>,<text>鶴駕靑宮備盛儀。元良岐嶷協昌期。綺園幸卒煩調護。周召還兼任保師。少海波瀾雷作解。大人明照日重离。丹心白髮孤臣老。萬一天恩下玉墀。丹鵲含綸昨夜飛。前星貳極頌重輝。謳歌訟獄民情見。仁孝聦明曆數歸。雲近蓬萊迎曙色。日臨蔡藿仰朝暉。天均雨露生成德。佇待雷霆少霽威。</text>
<title>初九日。復次前韻。</title>,<text>周官法度漢威儀。正是興王五百期。聖子神孫相繼述。龐臣碩輔捴賓師。已知道長陰陽泰。却喜明臨日月离。通籍昔時叨奉引。卽今天末阻彤墀。湯德洋洋及走飛。聖朝宗祀日光輝。並生寧有一夫泣。善養還聞二老歸。正位靑宮尊貳極。繼明黃道仰雙暉。天涯無路登前席。幾歲重瞻咫尺威。</text>
<title>十五日詠明律寄呈</title>,<text>一部明詩萬丈光。皇朝三百盛文章。空同筆勢追西漢。大復詞華逼晩唐。硬語橫空孫處士。麗篇驚世李東陽。愁來開卷高吟罷。贏得明珠照我膓。</text>
