<title>九歲作此。偶續成之。自註。上句兒時作。</title>,<text>白日落西海。化月歸東海。陰陽自循環。造化無定態。</text>
<title>正安正命老河洛朞三百方位之非 自註。安以天一水爲木。天三木爲水。盖出於範緯數之變法而誤也。又以三百六十爲朞。更加六日爲氣盈。不知三百六十。爲十二月全數。而爲氣朔之中數也。又不知其氣盈云者。爲中數之餘而爲朞也。</title>,<text>爲人性僻喜更張。役智空探造化囊。三統強分三子午。自註。安以子午爲天子午。丑未爲地子午。寅申爲人子午。盖出於三統之說而誤。 徧邦思用徧陰陽。安排星曆長差閏。顚倒圖書太反常。遂使混沌生七孔。誰從儵忽受斯方。又 自註。安每以三年一置閏。皆作大月而無小月。必以四月十月爲常。兩閏之間。計三十月。一定不易。此膠柱皷瑟者也。安公之閏異陶唐。四十爲常月有方。夏則入秋春亦夏。當而不食朔非當。星辰顚錯長移表。氣化淆漓每失常。七閏尙多餘氣朔。從敎十九不成章。</text>
<title>哭尹友道一 字貫之</title>,<text>仁厚之人凈正人。人於斯世鮮其倫。如何捨我先歸去。使我如亡半我身。又賢如伯道又無兒。終古天心未可知。堪悲吾類多零落。耿耿中宵涕自垂。</text>
<title>夢見尹學官直美慰我病。因請詩賦一篇。覺而思之。中頗不續。因夢中氣像。續而成之。以足文理。時戊寅十月夜也。自註。夢在鑄字洞鄭任柱家外廳。</title>,<text>老卧幾年月。一病輸骨髓。平生爲國忠。耿耿一寸愁。夢 愁來向旻天。默訴心中私。常 天公故送鴈。爲叫天南陬。一以慰病懷。一以分付秋。夢○自註。謂分付于秋也。 秋風送淸景。月浪流天衢。照我胸中海。眞光發源頭。昭昭照膽鏡。濁無纖毫留。明如夜光珠。淡如秋江流。瀅瀅玉壺氷。洞澈無陰幽。潭止澈底淸。水滑紋如油。寂無一點搖。森然萬象具。淵淵含動處。一息無停時。風恬日初出。波煖龍出游。生意滿腔子。潑潑春無涯。上下三丹田。自有璇璣樞。陰陽各循軌。日夜周復周。雲龍與風虎。升降交相求。氤氳自化醇。瑞彩常縈紆。常 頓悟氣魄壯。依舊精神收。逍遙終此生。不羡萬戶侯。夢</text>
<title>夢見亡友尹貫之有感</title>,<text>寬厚兼淸凈。斷斷信義人。堪悲鄧伯道。竟作無主神。又寡慾能公正。善人長者人。天胡違常道。不壽伯牛仁。</text>
<title>秋過光陵</title>,<text>東峯郁郁映朝暉。萬樹玲瓏錦繡輝。秋風亦有丹靑色。爲賁千山染着衣。</text>
<title>淸凉農庄夜坐</title>,<text>靜坐深宵淸不眠。寂如無處自森然。克了惟精惟一義。分毫應不失方圓。</text>
<title>牙山處士李達源卒 字海如</title>,<text>公性端正耿介。淸淡踈雅。處心公平。視人幾如己。待人以誠。不爲表裡。人有論己。鮮有怒。與人講論有異。不爲堅執固爭。從容反覆者三四。終不合則曰我未必是。君未必非。我當退而徐思。厥後又與確。又不悟則曰我魯當更思。人或固執或迷惑。曰我當退而徐思。君亦更思。或當事誤採人言致誤。人曰非君之智暗。人之誤也。答曰吾若明敏則人之言雖誤必不用。今用而致此。吾自不明。非人也。凡有過。人有言之。必自責曰我誠有罪。無怨拒之意。人有過。懇辭喩之。人多感動。或峻責之。人未嘗怒。盖其公心誠意。孚於人養之力也。不喜功利名譽。不與世交游。逍遙於物外。以琴書自樂。若遇好山好水。輒彈一曲以寓趣焉。若遇良辰月夜。或彈或詠以遣興。其果於忘世若此。詩曰。微星昨夜忽沉彩。雲去西湖鶴影藏。言懇善爲解人慍。心公鮮有伐其長。風生孤竹流踈響。月照淸溪漾淡光。悲結琴心不忍奏。淚爲泉水和千行。</text>
<title>洞庭</title>,<text>萬里虗明軆。大爲一鏡光。光陰分白赤。自註。能辨日月本色。 天地辨玄黃。自註。能明天地本軆。 坐我琉璃界。凝神怳惚鄕。沉潛如有得。許爾見宣王。自註。文宣王也。又引興登樓望。烟雲繞四方。芙蓉開玉鏡。錦繡耀銀章。地勢隨天勢。山光亦水光。蒼然吊今古。落日下瀟湘。又七百其周別一洋。琉璃照耀翼軫傍。東南開坼乾坤勢。晝夜分明日月光。千尋屹峍中流立。萬里蒼茫楚望長。默坐淸晨神黯黑。怳然如對我文王。</text>
<title>燈夕</title>,<text>却喜今年勝去年。合歡何幸得諸賢。烟昏燈夕疑星海。月午瑤空不夜天。三友有言溫似玉。一心無累淡如淵。無邊風景無邊興。春滿乾坤氣浩然。</text>
<title>次兪正路言字韻 名義重</title>,<text>多君能發此良言。言以推之得本原。今而如此又明日。他日應尋正大門。又何幸今朝聞善言。令我長得本心原。若能事事皆如此。正路應開道義門。</text>
<title>春興</title>,<text>露濕花枝當窓低。一聲二聲春鳥啼。默坐淸晨若有思。滿庭芳草萋萋▣。</text>
<title>步上燈夕韻</title>,<text>三四長年與少年。淸談穩處共賢賢。森森萬戶疑星雨。浩浩千山得月天。珠蘊銀河明瀅瀅。夜深胷海靜淵淵。望洋想像無窮趣。便覺心神黯黯然。</text>
<title>人以日照龍鱗萬點金難其對。余得一句以對之。彼以䧺豪心。余對道義。</title>,<text>天圍海腹三重玉。日照龍鱗萬點金。陰陽自別公私意。彼以䧺心我道心。又 自註。余言道義。抑彼之非心。天生麟德千編玉。日照龍鱗萬點金。彼主其形此主道。奸䧺心異聖賢心。</text>
<title>郭監察齊泰常得句曰涷雨鳴山木。恨其不能續成云。余聞而足之。</title>,<text>遠雷何處發。隱隱數聲聞。涷雨鳴山木。飄風捲海雲。炎炎蒸地軸。黯黯晦乾文。忽復淸明界。祥光泳八垠。</text>
<title>風雨候</title>,<text>點黑凝空明動河。蛩吟切處鳶長歌。市譁似戰鐘聲震。樹靜如眠鳥語多。燈暎隱光知雨候。雲流飛脚是風花。沛然一注乾坤潤。和氣氤氳百萬家。</text>
<title>閒興</title>,<text>閒中何所事。靜自玩陰陽。野馬氤氳纈。帝車轉運強。夕烟分野色。夜峀入天光。默想無窮妙。黯然是望洋。</text>
<title>哀人物</title>,<text>莫枯彼草木。莫涸彼淵川。風雨無調順。寒溫失後先。飢荒今十載。疫癘又三年。民物其奚罪。漠乎彼上天。</text>
<title>見小僮勤於草木。日以水沃之。有感。</title>,<text>小僮勤護卉。沃水日日新。感玆淡世味。主靜養天眞。</text>
<title>自勉</title>,<text>黜私滋味薄。養靜道心長。胷海長安恬。逢風不惡浪。又滋味因形氣。淸心淡泊之。養靜軆斯立。用其綽綽爲。又靜養心能一。一必有主張。有體斯有用。用必義以方。</text>
<title>可願</title>,<text>淵淵活水有靈根。灝氣盈腔自潤身。堯舜典刑希聖客。羲黃天地樂間人。九經書裡無窮味。三尺琴中不限春。持敬常爲涵養主。世心消處道心新。</text>
<title>自勉</title>,<text>養心明且固。當事不狐疑。威武如霜雪。其能奪我爲。又立志如山嶽。威武莫能移。窮通命歟命。隨遇自安之。又養心惟有正。無苟是可勉。臨財毋苟得。臨難毋苟免。</text>
<title>悶夏凉</title>,<text>陰陽失常候。五月凉如秋。陰陰久不雨。無奈鬼神愁。</text>
<title>悶旱疫</title>,<text>旱氣燥天下。飢癘人多死。餘者尙流離。畢境何爲地。</text>
<title>戒功利</title>,<text>天心常在一。聖賢道統宗。扶陽斯爲大。何必一時功。</text>
<title>戒弊</title>,<text>虛無爲道德。自愚是愚人。徒然捨禮義。漫說太古民。又上古豈愚世。愚人難爲愚。不敎將焉用。千古盡野夫。又愚民欲何用。無乃是權謀。後人尙其學。覇術釀兵流。又愚民必無知。無知多邪妄。奸䧺出此間。其𥚁儘難量。又愚民誠是易。難爲愚豪傑。奈何秦始皇。過學老君說。又奉天生養德。經濟是公仁。奈何捨人道。獨作長生神。又佛說其行世。綱常盡掃亡。生理幾乎息。乹坤寂滅鄕。又後人誤學禮。其弊轉刑名。務末徒依㨾。本之終不明。又頓悟欲頓悟。誰刱無頭說。渾淪儘渾淪。渾淪無分別。又困知儘困知。溺於頓悟說。將理認爲氣。終歸佛氏𧗱。又衆山與江西。陽明整菴說。盧柳李氏輩。似異實歸一。又溺乎文章家。厭見聖賢籍。厭見斯不究。不究將焉覺。又老佛曾有斥。文章不知禍。不禍終不疑。其禍甚秦火。又文章多邪味。後賢或此習。所以終不疑。援引不肯辟。又 自註。如莊文。縱橫鄭衛流。流爲文章習。能言拒文章。有辭孔孟學。又經傳明道德。文章亂非是。出此必入彼。出彼必入此。又文章多詭辯。堅白好同異。導濟衆人私。惑亂聖經意。又東坡亂道人。爲文眩是非。詭辭中世情。世人靡然歸。又世貞文字學。駁雜中無主。亦是異端流。陋哉焉足數。又千古異端文。皆祖遷與周。洪水源派濶。滔滔流不休。又夷人彰異學。其名利瑪竇。其學奇而巧。恐爲道德冦。又學禮徒儀節。無本曰依㨾。依㨾不知通。處之多謬妄。又人若厭禮煩。太簡至自用。徒然笑依㨾。喜事多作俑。又 自註。救兩弊。精深九經義。體立斯有用。述而豈依㨾。知也非作俑。</text>
<title>戒計較利害</title>,<text>利害其爲義理先。當其計較秋毫析。他人愛過至親人。骨內有如行路客。又利害爲心只爲身。笑他忠恕大公人。誰能物我兩無間。體得上天一視仁。又莊周作南華。大演異端學。其言切世情。爲𥚁千千億。又馬遷作貨殖。其罪數如山。釀出無窮弊。盈于宇宙間。又馬遷心術雜。縱橫悅儀秦。千秋游俠傳。多誤氣強人。又文章下語法。絶異聖人情。若或淫於此。侮慢傳與經。又墨學流無父。失之一視仁。兼愛無差等。其爲失義人。又後世斥楊朱。似異而實一。爲我計較心。前後同其轍。又墨子弊猶少。楊朱𥚁莫測。非朱親誘世。自入不能覺。又孟子闢楊氏。後人皆知非。知非不能捨。爛熳卒同歸。又 自註。莊周。周也好神異。後人爭效之。放誕俳諧體。絶奇太絶奇。又南華章句法。詭誕太無倫。淸新奇又巧。千古盡沉淪。又文章皆祖老。詭辯好神奇。爲文因慕術。一往無歸時。又陰符何爲道。從橫覇與兵。其術神奇巧。表裡道德經。又首言抱一道。窃弄造化情。千古爲仙者。祖事若神明。又其言若神妙。惑亂眞是非。千秋皆波蕩。往往不知歸。又兵家能濟利。切中世人情。所以心濁者。不學好談兵。又兵家捷徑術。詭遇多奇中。暗合功利心。世人盍敬重。又千秋百世人。皆知商鞅惡。知而不肯排。反自學其學。又荀卿性惡說。楊䧺善惡混。皆從氣質言。不識性之本。又蕫子不知性。強立質朴說。質朴豈本然。分明氣與質。又蕫子質朴說。韓公三品說。皆從氣質言。言異實歸一。</text>
<title>救荀楊蕫韓之失</title>,<text>孟說只論體。四言兼氣理。體有本然定。氣有淸濁異。又本然本具德。氣性氣兼性。氣之淸與濁。性有通塞境。又本德有定軆。氣發有通塞。通塞有明暗。定軆豈變易。又理爲所以然。氣乃所然耳。所以常定軆。所然時變異。又氣以理爲宰。理或蔽於氣。定軆何能著。徒爲主宰耳。又氣質可變化。本然無損益。物物無不有。繼繼無休息。又荀卿心術僻。其流爲李斯。賢聖用心書。一朝秦火之。又楊䧺智昏暗。敢作美新論。得罪聖賢道。罵名流千萬。又蕫子雖昧性。立志卓越爲。正義明道語。優爲百代師。又韓公雖昧性。於學亦有功。但嫌文體誤。文弊傳無窮。又宗元薄德人。爲文尙巧刻。千秋詞翰家。往往中其毒。又歐公性徧僻。誤排序繫說。自註。序序卦。繫繫辭。說說卦。 其學坐固陋。其文亦瑣屑。又左氏性浮誇。作文語太僻。其學雖未精。不至亂道德。又孟堅知行薄。爲文徒漢史。其文雖非古。所見或可取。又陶公志高大。氣像儘悠然。心閑詠歸去。淸風浩無邊。又白也太浮虗。甫也太苦刻。自後諸文章。悠悠徒在目。又建安七才子。唐家四詩傑。陳高王孟岑。徒爲文章伯。</text>
<title>分名敎刑名</title>,<text>名敎因其實。刑名強作名。強名多穿鑿。因實自精明。</text>
<title>主靜</title>,<text>旣非嚴陵懶。又非佛氏寂。氣像自雍容。儼乎涵養力。</text>
<title>康節</title>,<text>極數因知道。於易大有功。欠於精一義。允未執其中。</text>
<title>陸王羅 自註。陸象山，王陽明，羅整菴。</title>,<text>無頭與主氣。象山羅與王。能言拒三子。于孔亦有光。</text>
<title>戒</title>,<text>老佛道略同。其歸各分路。中國皆爲佛。我東漸尙老。</text>
<title>戒</title>,<text>佛說有圭角。老道善䌤縫。䌤縫功利術。千古陷其中。</text>
<title>戒佛</title>,<text>鍊丹只存念。綱常不屬心。削髮無禮法。儘乎夷人風。</text>
<title>戒老</title>,<text>脩鍊只存念。性命不留心。將性爲何物。長向虗無尋。</text>
<title>辨老佛</title>,<text>虗無近空寂。脩鍊道略同。至若施人術。分歧各西東。</text>
<title>戒</title>,<text>聖道其衰矣。人心無定着。漸崇老氏言。將溺空門法。</text>
<title>戒佛</title>,<text>佛氏設虗敎。轉爲妖幻法。誑誘衰世人。其𥚁將難測。</text>
<title>論張良</title>,<text>智足少忠信。術兮非道義。好謀非善用。邵老謾稱至。</text>
<title>論武侯</title>,<text>心公忠貫日。爲禮流刑名。勞心親細事。耳目太聦明。又只爲一世功。不立千古業。枉尺而直尋。異乎孔孟學。</text>
<title>楊䧺太玄</title>,<text>太玄依易㨾。比如繪畫法。床床又冠冠。邵子稱何極。</text>
<title>陰陽數</title>,<text>陰陽術數家。溺人如酒色。禍福捷徑術。害至蔽周易。又爲數不好學。其弊至妖妄。能令奸盜生。其罪海無量。</text>
<title>韓信</title>,<text>謀人不謀身。智以利欲昬。其死甚不明。無乃有至寃。又信也雖無學。猶爲智能人。辟人附耳語。怨僕從何聞。又漢皇聞信死。大驚又大喜。旣驚又何喜。余實疑其事。</text>
<title>郭汾陽</title>,<text>河海爲度量。忠信是其志。得失榮辱間。泰然不槩意。又有德且有才。隨時善周旋。恨無禮樂術。有慊聖與賢。</text>
<title>岳武穆</title>,<text>千丈剛正氣。精誠貫白日。寃魄爲金石。萬古長欝結。又秦檜蛇狐輩。其心奸又奸。一朝害忠正。寃氣斗牛干。又有志竟未遂。悲乎岳武穆。悲乎岳武穆。悲乎千萬億。又用兵如鬼神。太剛少優容。能未淮陰子。精非諸葛公。</text>
