<title>春吟</title>,<text>春來百鳥鳴。曉窓聲相至。幽人夢江南。未盡三湘水。</text>
<title>病中見康明之所傳柳川書。題短律謝之。</title>,<text>病裏松溪至。韓君有寄書。風疴喜痊可。筋力近何如。顧我慙恩重。低心負郭居。春風吹漢水。感淚只沾裾。</text>
<title>送康明之赴任順天</title>,<text>南郭新春別。離愁倍去年。人生看又老。道里較相懸。寒食淸明節。桃花小雨天。時危思會合。白首意茫然。</text>
<title>五月二十一日。聞雨聲蕭蕭過山。</title>,<text>久旱初聞雨。蕭蕭過澤陂。蛙鳴跳出草。魚戲欲翻池。萬彙欣如此。三農喜可知。催耕布穀鳥。不覺節差遲。</text>
<title>柳川再疊前寄詩韻見贈。次韻還寄。</title>,<text>乾鵲連喧曉。承君秋後書。形容增潦倒。活計更何如。世亂方知命。年饑不定居。郊扉夜無月。萬事只沾裾。曾託先塋誌。今朝又見書。以君勤勸諭。知伯意相如。歲月長輸病。江潭未卜居。此情寧少恝。有淚落雙裾。</text>
<title>今年楓染。人皆稱最鮮。僕病未出山。何以見之。一日。三山僧弘印求詩至。僕戲之曰。師能採楓至。吾詩可賦。越數日。果以楓來。種之堂隅。如約賦詩云。</title>,<text>此老愛楓樹。逢僧乞一根。採來纔閱月。小幹僅過垣。照色栽臨水。邀陰就近軒。來秋吟白髮。大醉爛紅園。</text>
<title>別景嚴赴關東幕</title>,<text>金鼓愁邊塞。顚連載路岐。殘生餘一髮。危涕尙千絲。嶺海羈魂動。晨昏孝子知。第須專所事。努力報恩私。</text>
<title>靈臺英道人。戊午己未間。嘗再訪于南郭老人。皆贈一詩。而一哀白沙相公。一和淸虛道人。意各有屬矣。庚申正月。英道人以新牋慰曰。願爲貧道別留一語也。老人笑謂曰。緣情生愛。緣愛生怖。老人何能超於愛怖之外也。因以一短律書之。</title>,<text>南郭曾重訪。吾時屬愴懷。留詩各忉怛。說偈聽參差。有意新春至。無將舊惱偕。居然成對笑。窓外曉禽喈。</text>
<title>二月一日有感 宣祖忌辰。公曾爲都承旨時入侍。宣祖執肩附耳語。故及之。</title>,<text>草莽君臣際。家人父子間。執肩衣縷蹙。提耳玉音團。奉訃燕秋盡。還朝寢殿寒。艱虞今白首。心肺一生丹。</text>
<title>鄭寒岡挽 二首</title>,<text>築室梅花下。山林講學專。平生守約地。刻苦用功年。天爵中仍至。儒名晚更全。東南先正緖。百世見遺編。憶過虎坪墅。茅齋空路岐。春風臨水意。芳草倚筇時。世事元多阻。幽懷只待期。南郊今臥病。良訣拊心悲。</text>
<title>有感</title>,<text>四海鰲城老。平生漢相公。窮泉入脩夜。人世易秋風。獨立蒼茫裏。長吟廣漠中。羈留了何事。回首面深紅。</text>
<title>甲寅孟夏。余葬妻馬遊山回。歷哭漢陰相公于中隱洞。哭訖。少憩所謂叉溪寺。寺僧壇上人以相公留題賞月詩示余曰。相公昔題此詩。語貧道曰。汝可持此。往索延陵和賦也。貧道怕風色。不敢入城。卒卒七年矣。今公到此。而相公已下世矣。幸請賦之。以成相公之屬也。余時妻喪甫葬。又纔哭相公。不暇作吟詩計。而難違相公平生之屬也。遂携卷入都下。續狗以歸之。噫。相公墨滋宛然。而重泉不可復矣。幸後之有情者。感而繼之也。</title>,<text>中隱當時月。年年不減盤。故人已下世。今夜好誰看。寂寞生芻束。凄涼寶劍寒。居僧示詩句。惆悵寺東䦨。附漢陰原韻霽月通綃幕。脩峯上玉盤。團圓今夜最。憂樂幾年看。樹影龍蛇動。溪紋綺縠寒。暗塵翻舊詠。岑寂坐更䦨。</text>
<title>漢江雨中。送康明之令公赴尙州。</title>,<text>老去惜分離。前頭未易期。假令重會合。能復舊琴棋。正直神明與。精誠天地知。相携滿江雨。別意語君遲。</text>
<title>覺玄詩卷 幷序</title>,<text>龍門山人覺玄自言是延安李氏之裔。出家居于舍那寺。今移福來庵。舍那。吾五世祖墓在焉。福來。是吾亡夫人之葬。而六世祖墓在其南五里餘。舍那，福來。相去僅十里。而旁親之墓。實聯絡焉。玄旣自舍那移住福來。以詩贈之。勉以死守勿去之意。爾從舍那寺。移住福來庵。先世塋連地。中間丈可函。鹽州同後裔。宰樹等伽藍。守死休他去。終身護石龕。</text>
<title>新春。鷄林大尹尹次野令公以書要詩。僕。戊戌冬。儐監軍御史岷麓陳公。過本府。登金藏臺賦詩。聞張揭賓館。遂疊其韻請敎。</title>,<text>南郭與君別。新春書始來。關河如許闊。魚雁可能回。碓樂先生死。黃昌劍客哀。遙知感舊處。滄海獨登臺。</text>
<title>乙卯上元日。偶閱義溪賞月軸有感。再疊前韻。</title>,<text>春回生意足。苜蓿已登盤。可惜存亡事。誰同草木看。上元新月在。中隱舊遊寒。對雪空相憶。人間思漸䦨。</text>
<title>送梧里相公付處洪川</title>,<text>白首臨江別。山川倘後期。人生本如此。吾道復何疑。鹿豕無常聚。萍蓬不自持。明時盛恩澤。宣召未應遲。忽忽傷人事。茫茫暮下樓。公能得死所。我獨爲生謀。梅雨湘潭熱。蚊雷板屋幽。殘年知有幾。泉路罄交遊。</text>
<title>洪寧原可臣挽</title>,<text>未路傷人事。如公更可欽。平生爲己學。夙昔救時心。白首餘忠奏。靑山但布衾。滄茫國士淚。那得再沾襟。惡耗來前夜。呑聲倚小樓。秋蟲四壁咽。銀漢五更流。天上君先去。人間我獨留。平明攬鏡視。已白十分頭。</text>
<title>韓參議伯謙挽 二首</title>,<text>蘊藉天人學。將誰自謂過。箕疇徵舊制。羲易校前訛。邂逅西湖醉。滄茫太傅歌。四月。訪參議于西湖。柳川亦在座。醉後各放歌。參議歌云。長沙王賈太傅。不是伱獨做事。流涕猶可爲。痛哭何等事云云。 今來奠綿漬。羌笛起江沱。細數浮生理。酸辛後死尤。剩沾知已淚。長抱獨行愁。疑事從誰質。殘樽只對羞。蕭條風雨夕。萬事入垂頭。</text>
<title>慧一。嶺南人。少入智異山。隨善修長老學。年十五。祝髮于江陵之五臺山。乙卯歲。參敬玉大選于龍門山。居山之雪庵寺。頗聰悟解文字。能繙寫佛經。以余之世葬。在山之西麓舍那洞。來請詩。</title>,<text>爲學無他道。要輸一個靈。不須觀物象。只好玩虛明。琴動靑山響。詩成紅杏零。林僧來伴麈。起我臥遊情。</text>
<title>次退憂亭詩韻</title>,<text>憂固終身有。寧分進退時。中心自如結。諼草奈相宜。望月三秋闊。憑䦨五夜危。此懷良獨苦。何日可忘之。</text>
<title>九月十四日。月色如晝。</title>,<text>理詠南樓夕。江潭待罪年。天風送鶴語。楓露落漁船。月色滄洲滿。鍾聲赤縣偏。停琴嘆衰白。何處問群仙。</text>
<title>鄭景任蒙恩將歸商洛。訪我于靑坡。握手忻悵。感淚無窮。因思古人相對如夢寐之句。因系以書之。</title>,<text>天恩初解纍。商洛有茅茨。屬我江郊病。逢君感淚滋。老來方識道。愁去莫吟詩。朝暮湘潭路。何從問後期。</text>
<title>韓柳川待命水村時。有中道付處之命。而遠竄事聞已停啓。專候願配在何。行期在何。詩以慰之。</title>,<text>萬事看天意。浮生自作勞。非經處吾順。何以見君高。棧豆憐駑馬。江山寄鬢毛。行行佳便瘞。始覺伯倫豪。</text>
<title>尹次野自鷄林尹按嶺南</title>,<text>新自鷄林至。還持嶺節歸。南鄕偏福利。君子奈驅馳。灌雨文殊築。梅花松峴祠。人人性懷土。非是屬吾私。</text>
<title>天機</title>,<text>郭外幽居久。天機老更硏。客稀鶯語緩。郊遠燕飛顚。野氣晴如雨。春條晝亦眠。蘧然午夢罷。窓外數峯姸。</text>
<title>送回答使從事李正郞景稷 幷序</title>,<text>昔圃隱先生以丁丑生。當丁巳年。奉使日本。時年四十一。尙古氏亦丁丑生。今年充日本使輔。嗚呼。此豈偶然同耶。其解紛釋難。止侵還俘。使涅齒革心首罪。重國勢於泰山者。此其兆也。尙古其勉之哉。遂次先生奉使日本諸作中兩短律韻以送之。丁丑逢丁巳。君行續圃行。忠誠此道在。今古寸心明。不及梅牕色。猶聞板屋聲。交隣重辭命。非爲遠遊名。此身不覺遠。此志免蹉跎。滄海元無極。丹心豈有涯。臨頭白日近。迎節碧山多。忠信神明護。舟行若在家。</text>
<title>靑龍長老性天。實僕三十年空門友也。乙酉秋。僕在湖堂。長老自靑龍來訪。七言長篇五言律各一首贈之。長老失於兵火。僕亦歲久迷忘。丁未夏。僕在睡窩。山人天景來謁。自言長老弟子。次湖堂所贈五言律示之。僕不曾見景從長老遊。而見所次韻則果吾作也。以此信其爲長老弟也。仍疊原韻。與之。長老。今在扶餘之高蘭寺。吏隱亭在其後。</title>,<text>昔別蓬萊島。光陰苦不居。沙彌今老大。棲息問何如。吏隱山當戶。高蘭水繞除。無緣同長老。江雨挽衣裾。</text>
<title>辛亥冬。天景又來訪松峴草堂。不覺光陰已五閱歲矣。再疊前韻以謝之。</title>,<text>五載驪江別。重來問索居。風塵尙濡滯。鬚鬢更何如。戀水心長徃。吟詩習未除。今歸又幾歲。文字漫携裾。</text>
<title>別康同知竹磵東還忠原 二首</title>,<text>世道危如此。人生豈得安。臨銅悲白髮。把酒惜蒼顔。紅樹催回棹。黃昏獨倚欄。今宵宿何處。明月滿溪灣。老病非常別。靑山斷後期。人生豈長在。交道但無欺。寒日明郊野。淸霜滿澤陂。檀公復何策。是處獨躕踟。</text>
<title>次慕齋遊龍門山登絶頂詩韻。書龍門僧三印軸。</title>,<text>僧自龍門至。南郊江路通。顧吾成棄物。居世卽眞空。暄愛茅簷旭。涼憐水郭風。非休亦非隱。瞑臥露梁東。</text>
<title>啓運宮挽詞 二首</title>,<text>積德聯珠盛。東方聖出年。溫仁自天性。詩禮得家傳。玉璽徵神夢。靑丘賴再甄。羹墻會祥殿。江外哭新阡。有蔚金陵地。山回水繞長。慈仁能毓慶。觀卜亦云臧。聖孝終天慕。鴻休永世昌。小臣忝耆老。稽首祝無彊。</text>
<title>李淸風公造挽 二首</title>,<text>鶴去虛松杪。梅殘空石壇。淸貧顔氏巷。蕭瑟葛洪官。叔度隤然順。徐生邈矣寒。人間不再見。零落九原難。曾托題先碣。吾衰未卽成。何能遽其事。第欲盡微誠。存歿憑人語。幽明感此情。殘骸餘幾日。不敢負平生。</text>
<title>奉贐吳䎘泛海朝天之行</title>,<text>遠遠朝天使。寥寥閉戶生。分離當此急。老少不須評。叱馭王尊志。觀周季札行。男兒重壯觀。忠信倚神明。</text>
<title>丙辰春。僕待罪于城南。與亡友權侯故居近。侯之胤若一以侯慶宴圖示之。去今已十八年矣。一時讚慶者。如溪院東皐又已逝。惟僕在。而其生之苦。亦不如逝之愈也。遂哀人生之短期。歎慶弔之不常。書一律以歸之云。</title>,<text>再見恩榮卷。今徑十八期。慈親猶待養。孝子奈先歸。舊客惟吾在。遺踪展畫悲。空餘故門館。蛛網罥䨥扉。</text>
<title>重入松都有感</title>,<text>再入松都人不識。南門直上撫靑蛇。千家簾幕風吹柳。一笛樓臺雨送花。世事百年誰自料。春醪三酌莫長嗟。摩挲金狄惟憐汝。適見鎔成歲已遐。</text>
<title>御題過柴市有感。二首 居魁。</title>,<text>丞相祠堂柴市傍。天敎此地樹綱常。東南間氣金臺盡。宇宙淸風易水長。諸葛英雄夷夏服。張巡忠義鬼神傷。精靈若在應塡海。北客無心跪爇香。敎忠坊裡草靑靑。莫是當年碧血成。惝怳風霆騰絶塞。分明星斗轉孤城。干戈慘惔君臣契。嶺海間關社稷名。萬事已空惟有死。長敎志士賸沾纓。</text>
<title>御題哀鹿屯島戰亡將士</title>,<text>孤島江心一帶危。設耕端爲孔州饑。豺狼叩吻藩籬薄。號令驅民性命微。烏啄人腸當樹掛。胡收漢馬渡溪歸。誰將白骨分親屬。萬古虫沙不盡飛。</text>
<title>次賞心軒韻</title>,<text>不向高屛逐後塵。題詩模勝恐非眞。登臨正好軒親就。行樂要須鬢未銀。澹澹風光芳草節。飄飄歌管落花春。紅樓白屋元相隔。枉作屠門大嚼人。</text>
<title>龍灣行在。聞下三道兵進攻漢城。</title>,<text>干戈誰着老萊衣。萬事人間意漸微。地勢已從蘭子盡。行人不見漢陽歸。天心錯漠臨江水。廟筭凄凉對夕暉。聞道南兵近乘勝。幾時三捷復王畿。</text>
<title>寒食松溪途中</title>,<text>年年冷節多風雨。天際輕陰客暗愁。霜勒山花紅未吐。烟交堤柳綠能稠。空懷侯穆梨邊飮。還作香山野外遊。倚馬長亭春意少。題餳聊復繼連州。</text>
<title>湖堂。答宋珽乞酒。</title>,<text>見君書寄念君寒。喚酒題封對碧山。祖蔭祗今承賜暇。義㽵雖絶敢懷頑。蓮翁遺跡詩千首。岡老華堂月一間。俯仰十年成憾慨。若爲同子看秋灣。</text>
<title>免山三白堂題詠</title>,<text>聞君親築畫堂開。暇日登臨眺望逈。三聖 臺名 高危妨老病。八窓瀟洒稱徘徊。斜陽閃雪沙連岸。淨練飜風水繞臺。遙想官居機事少。鳴鷗飛出鏡中來。</text>
<title>題藍浦望海樓</title>,<text>碧藕波涵小閣靑。登臨愁思倚冥冥。淸秋畫角縈殘郭。落日荒郊隱大溟。天遠䔡葭迷澤國。夜深風雨散松亭。虫鳴四壁年華晩。吾道誰從問楚萍。</text>
<title>題藍浦掛弓亭</title>,<text>峩嵋山下水鳴堤。瓊海茫茫綠滿西。男子襟期百年闊。登臨形勢滿山低。亭中彈劍蛟龍吼。城上抨弓虎豹啼。身老時危思報主。空敎長夜氣成霓。</text>
<title>挽鄭子愼</title>,<text>四十年前乙密陰。却將心契托棋琴。談間爽韻能蠲暑。筆下淸詩未見今。谷口耕耒生事拙。鷓鴣吟斷盛名沉。明春倘過方城路。庾信門前草木深。</text>
<title>謝冠嶽山僧以山蔬來問</title>,<text>嶽寺三冬昔寓居。沙彌吹火照床書。深憐點漏風霜入。尙恐貪眠講誦疏。厚祿只今慙舊衲。擷蔬時復問窮閭。周生賴有東林約。詩句丁寧勉落虛。</text>
<title>奉贈駕鶴子東還 黃汝一未第時</title>,<text>傾國佳人海上來。玉蓮浮出亂雲開。平生環佩中心好。絶世蛾眉衆女猜。鳷鵲觀頭看雪盡。碧桃花下戀春廻。乘風飛去不知處。悵望冲天虛翠臺。</text>
<title>寄江陵金叔武</title>,<text>離別經年事事哀。屋樑明月揔悠哉。新春又着江村樹。遠意聊憑驛使梅。可復三山聞曉磬。空餘一字嗅龍媒。今年頓覺吾衰甚。何計從君海上廻。</text>
