<title>讀書 乙丑</title>,<text>月是太古月。書是太古書。太古明月下。人讀太古書。</text>
<title>以馬故苦惱多端。詩庸排悶。</title>,<text>南邊殘驛事尤殷。職是攻駒敢舍勤。萊譯達裨長織路。燕軺倭宴每空羣。太僕牒關如有怒。上營督迫不勝紛。庭趍鴈文堆案。署尾時時到夜分。</text>
<title>因山日志感 是日於邑衙。行望哭禮。</title>,<text>因山此日水城陽。遺澤於戱不可忘。蓐蟻微忱嗟莫展。曉風北望淚千行。</text>
<title>可嘆</title>,<text>無奈頭邊白髮何。少時樂事夢中過。緣何老眼常含淚。爲是平生悲哭多。</text>
<title>途中卽事</title>,<text>遙程良杳杳。一馬劇蕭蕭。柳列村容富。天長鳥意驕。晩雲如弄峀。春水欲浮橋。老病難行役。裁詩強自謠。												又						信馬仍成睡。却忘雨點衣。溪淸魚色凈。村遠樹容微。無數行人競。有時獨鳥歸。漁樵渾作侶。山店趁斜暉。</text>
<title>峽路</title>,<text>側身踰磴任高低。細路迂回北又西。魚怯澗淸生亂浪。馬疑泥濁試前蹄。看雲忽失靑山色。穿壑時驚怪鳥啼。野店隔崗尋却遠。竹松重被暮煙迷。</text>
<title>夜雨</title>,<text>夜雨如相欺。乘睡暗霏霏。曉看花淚濕。紅亞最長枝。</text>
<title>挽李判書 鼎運</title>,<text>按藩威望舊。司寇寵恩新。豈意翻歌薤。却思昔買鄰。酣吟無俗態。談笑有天眞。忍復將何語。慰公鶴髮親。</text>
<title>偶成 必有爲而作</title>,<text>藉草斟浮蟻。臨池翫躍魚。世多求玉衒。人或怒舟虛。死矣盆成括。賢哉太傅疏。靜中無俗事。還復閱床書。</text>
<title>燒笋</title>,<text>燒笋朝朝味不凡。每敎厨婢適酸醎。督郵自笑淸貧甚。千畒胷中未療饞。</text>
<title>次日哦亭韻 二首</title>,<text>酌酒銷愁愁不銷。夕陽眺望自淸朝。繁花密樹倉庚好。脩竹長堤叱撥驕。卷裏友人千古近。天涯爲客一身遙。賢祠草沒雲臺古。鷗鷺淸江悵返橈。日哦亭南有賢孝祠。北有孤雲臺。祠爲鄕人建。臺有崔孤雲古蹟。						鯨海妖氛久已銷。逸蹄無用聖明朝。耕耘處處偕烏㹀。遊獵時時擁歇驕。竹繞長江分興趣。松標孤節供逍遙。淸宵慣聽漁歌響。素舸月中閒動橈。</text>
<title>倭館</title>,<text>和倭本意靜邊陲。戍館覊縻自昔時。驟見服裝驚詭異。忽聞言語訝侏離。分廛趁市鉤商貨。把券當壚勸客巵。焉得將如忠武智。直搶巢窟任鞭笞。</text>
<title>臨鏡寺</title>,<text>鷲棲山北石千層。臨鏡寺中數十僧。古木陰森紅日礙。回峯遮擁碧江澄。林凝梵唄禽驚夢。磴挂藤蘿客怯登。小坐危樓成獨酌。不妨歸帶玉輪升。</text>
<title>途中有感 辛酉</title>,<text>遙望點點白。散在山巃嵸。謂石初不移。疑人更似動。又聞山鳥啼。音韻巧宛轉。或如自呼名。旋若學俚諺。始知耳與目。皆隨一心變。心苟有所向。物乃無不眩。聞見尙如此。何况思慮馳。氷炭交義利。黑白迷公私。所以聖人戒。操舍謹毫釐。書此告靈臺。日夕若嚴師。</text>
<title>歸家</title>,<text>經年嶺外飽吟呻。今日歸來亦有因。淸洛碧嵩長繞夢。疎籬瘦井忽驚眞。却看妻子愁仍在。獲近觚稜痛更新。稍待秋風還復去。只嘆薄宦解縻人。先大王練祥在近。故第六云。</text>
<title>回甲日志感</title>,<text>暾照門弧入默想。居然六十一春秋。幸霑俸祿嗟何及。謾誦劬勞淚不收。我亦當年存一樂。誰知此日抱千愁。餘生事事惟茹痛。弓劒雲鄕歲又周。余生時正當日出。故首句云。然只是月適値先大王練祥。故末句云。</text>
<title>嶺南樓 樓在密陽</title>,<text>華構高臨粉堞開。坐如天上石爲臺。栗林遠野眼前濶。巴字澄江軒下回。斜陽漁艇孤煙杳。淸磬招提萬壑哀。三復退陶題壁句。欲追餘韻愧非才。</text>
<title>通度寺 寺在梁山</title>,<text>尋源曾不費躋攀。寺在蒼松翠竹間。驚耳急雷逢怒瀑。占基平地似深山。塔藏佛骨相傳異。巖染龍漦尙驗斑。更讀希翁黃絹語。此行剩得破愁顔。寺在平地。僧言塔藏如來頭骨。故爲禪宗。又刱寺時。將塡淵建法堂。淵有九龍故曳出之。巖尙留斑。寺中有碑。是希菴蔡彭胤所撰。</text>
<title>通度寺。有壬辰丙子忠烈錄。僧言每於俗節。列祀諸賢於樓上。</title>,<text>壬丙諸賢百世風。高名磊落揭琳宮。山僧亦解酬忠節。一體四時祭祀同。</text>
<title>秋望</title>,<text>淸秋落日上高臺。白水蒼葭活畫開。對酒莫敎詩令緩。片雲應遣雨相催。</text>
<title>落日西望卽事</title>,<text>蒼波落日小舟閒。上有千尋倒影山。一穗孤煙搖曳處。漁人吹火荻花間。</text>
<title>矗石樓 樓在晉州</title>,<text>矗石危樓倚泬寥。客懷何事劇蕭條。靑靑竹色橫今古。决决江聲咽晝宵。絶壁有心千仞峙。浮雲無跡一天遙。遺碑屹立猶生氣。義妓忠魂若可招。壬辰晉州城陷時。妓名論介者。盛容飾。坐於臨江絶壁上。羣倭悅而爭赴之。妓曰若非而上將來者。吾不從也。於是其上將聞之喜卽來。乃與之對舞。遂抱其腰。轉于絶壁而死。倭旣失上將自潰。晉州得復。樓卽其地也。樓下竪碑。記其忠烈功績。</text>
<title>玄風館</title>,<text>夜久客無寐。樓高思不窮。長天流皓月。此地是玄風。雲散羣林出。鳥棲萬籟空。飛泉淸起我。更踏落花紅。</text>
<title>海印寺 寺在陜川</title>,<text>海惟無盡印無停。寺占伽倻佛有靈。地壓三千圓覺界。閣儲八萬大藏經。煙將遠瀑凝淸磬。物象奇巖繞翠屛。最是孤雲多異蹟。僧言笙鶴尙疑聽。</text>
<title>入紅流洞。欲題名旋止。洞是海印寺口</title>,<text>題名處處石無虛。我欲效顰又却徐。看來便似邙山葬。後世何由辨某書。</text>
<title>辛酉冬殿最。監司金履永置之中考。曰頗有瑣謗。</title>,<text>殿最抑揚似有魔。誰知殘驛作謗囮。流言吹毒嗟無極。偏聽生姦可奈何。歐老已徵唇不掩。貉稽休怪口玆多。蒼天在上神明質。榮辱升沉一任他。</text>
<title>罷歸戱吟</title>,<text>藍浦纔百日。黃山亦朞月。此心前後同。焉往不三黜。此下有讀香山詩七絶一首。在板▦▦</text>
<title>十月季女成婚。十二月新郞夭逝。余在嶺外聞之。慘慟不自忍。</title>,<text>哭死由來不爲生。我今哀死以哀生。死者無知長已矣。其如吾女可憐生。												其二						嶺外纔聞旭鴈嗈。那知一去更無蹤。若使君魂入我夢。暫時猶得識顔容。</text>
<title>寫懷</title>,<text>老怯登程遠。病知束帶難。從今休薄宦。閒卧忍飢寒。此下有壬戌元朝七律一首在下板</text>
<title>上元點馬。余不出視。點罷驛民入辭。上元點馬古例也。而余將歸故不視。○壬戌</title>,<text>上元點馬但聞聲。獨掩梅窓理遠程。十七驛民齊下淚。從今依舊吏縱橫。</text>
<title>行十里至花渚橋。驛屬皆辭去。</title>,<text>廳童厨婢曁村夫。惜別人情淚落珠。橋頭駐馬暫回首。爲語新官勝似吾。</text>
<title>路傍石佛頭戴大石冠</title>,<text>丈三彌勒佛。長立古橋頭。石冠應太重。何不暫時休。</text>
<title>義狗塚 善山江邊路傍有小塚。前有碑曰義狗塚。相傳云昔有人被酒卧此地。狗守其傍。忽有野火燒來。狗號而挽其衣。終不覺。狗乃走江邊。浸其身以來。以尾亂點四傍草。又連往來霑灑。草盡濕。火不得逼。久而後其人乃醒。見狗罷而死於傍。義而瘞之。</title>,<text>嗟乎義狗塚。千載有遺碑。狗能爲主死。人可不如之。</text>
<title>卧堠</title>,<text>植立指人路。長時不暫休。歲久飜成怠。委身卧壠頭。</text>
<title>壬戌季秋。乃睦上舍回甲也。以季秋祭禰之禮。於其生辰行事。有詩志感。乃步其韻。聊以寓余懷焉耳。睦上舍允中字景執。</title>,<text>先賢遺禮克追之。孝子誠心自撫時。風樹愴懷孤露久。霜天將事季秋宜。弧辰每値猶深慕。花甲重回倍益悲。三復君詩增我感。却思前歲倐星移。</text>
<title>偶見明人詩。有曰窮向君平問卜。病從扁鵲求醫。卜云無官大吉。醫言勿藥最宜。有味乎其言之也。乃因其言而演成之。以補其不足之意云爾。</title>,<text>窮何須問君平。病不必求扁鵲。從吾好自無官。任天命便勿藥。</text>
<title>讀香山詩有感 當在罷歸戱吟之下</title>,<text>來歲年登六十二。古人詩句卽今辰。可憐頹景西山薄。結髮事文謾苦辛。白詩云今歲日餘二十六。來歲年登六十二。東坡詩云我今六十一。頹景薄西山。又曰結髮事文史。俯仰六十餘。</text>
<title>壬戌元朝 當在寫懷之下</title>,<text>今年六十二翁云。千古奇談但耳聞。昌化夢驚蘇內翰。蠻溪威振馬將軍。心情多少遊春興。俯仰依俙結髮文。靜坐不知門外事。好觀遙峀出晴雲。馬援之征五溪蠻。子瞻之謫昌化。皆在六十二歲。又白詩云心情多少在。六十二三人。蘇詩云結髮事文史。俯仰六十餘。</text>
<title>客有言人有作歎老詩者。和者頗多。故余亦次之。</title>,<text>此身老可惜。斯有歎老詩。請君莫歎老。且進眼前巵。少亦不足喜。老亦不足悲。晝夜無停機。逝者諒如斯。川上詔後人。吾師有宣尼。人生日趍死。主張竟是誰。多見罹殤天。尠克享期頤。眞似醯甕雞。孰效蓮葉龜。所以喜三樂。帶索歌榮期。而我生雖晩。幸丁太平時。奚但四五十。無聞倐已耆。一事靡所就。百病恒不離。錯應衆客笑。廢讀兩睫眵。非禪心亦絮。羞人鬢又絲。寢食嗟轉减。跬步苦難移。人情傷衰朽。豈不時自噫。然有大可幸。乃於吾心宜。囂塵厭視聽。安用聡明司。僻陋學靜坐。不須馬牛馳。失睡或溫故。恃粥聊救飢。自然增動忍。何妨有忘遺。好對門垂柳。喜看孫覔梨。經義尋究得。世情閱歷知。大道乃如彼。至樂孰過玆。仍能絶世念。曾無蹙吾眉。秋晴送遠鴻。春舒迎朝曦。有時頗無聊。杖藜隨所之。逢人懷暫叙。眄柯顔亦怡。常恐志氣惰。焉用功名爲。天地亦無常。萬籟不同吹。山川尙變遷。道路有險夷。顧以樗櫟散。兼愧蒲柳姿。固宜漸濩落。安得長葳蕤。譬如日月行。東隅倐西陲。縱揮魯陽戈。終知不可追。浮生難得老。物理定無疑。敢嗟衰顔凋。猶幸化日遲。且賭餘生樂。能復幾年支。爲詩以相答。覔紙一呼兒。</text>
<title>癸亥春。讀樂天詩。因其語而自歎。</title>,<text>白傅曾嘆頭雪白。假如醒煞欲何爲。心情多少在耶否。我欲言之還不知。白詩云六十三翁頭雪白。假如醒煞欲何爲。又曰心情多少在。六十二三人。</text>
<title>遣懷 自叙仍慨世</title>,<text>光陰隙駟忙。居然六十三。已過蘧瑗化。差遜張壽慙。雪白誦樂天。氣紫聞老聃。人事閱歡戚。世味飫苦甘。皮皺學瘦嫗。頭童似瞿曇。憶者年富時。欲語淚自含。結髮事文史。自任許大擔。甘旨期寸祿。庶不負爲男。此志竟未遂。風樹痛何堪。爲貧晩通籍。罔非聖恩覃。督郵周年黃。分符百日藍。枘固不合。竽瑟難幷參。望秋愧蒲柳。需廈羡楩楠。暮境供逍遙。城西數間菴。門靜有古意。客至無俗談。列堞張畫屛。羣山繞翠嵐。矯首雲悠悠。倚杖水淡淡。縱未今世諧。猶自古書耽。飛躍玩鳶魚。毛絲賾牛蠶。眞猶芻豢悅。難窮河海涵。春草茁空庭。秋月照寒潭。舊業信未忘。奧義敢言探。夢裏鳴幽鳥。度外馳塵驂。洛中有故事。序齒曾盍簪。傳像司馬公。與會盧河南。千秋空悵望。此言誠癡憨。世曠剖璞明。人多買瓜貪。燕雀附炎熱。狐貉輕弊襤。不待出門行。路難默已諳。孰質語矛盾。休問人矢函。且拋名與利。聊樂和且湛。獨寐也何傷。永矢空谷谽。風送玄鶴警。煙迷碧柳毿。一曲太平歌。幽興在半酣。宋耆英會張壽詩。有更慙七十是新年之句。唐九老會。河南尹盧貞。宋耆英會。司馬溫公。以未七十俱與會。</text>
<title>弼雲臺</title>,<text>西臺聳出石寬平。白日靑春富洛城。玉輦繞花淸蹕靜。朱樓遮柳遠煙輕。何村桃李高門擁。是處林泉獨樹明。細路回筇餘興在。浮雲入望却愁生。是日上幸毓祥宮。</text>
<title>花月</title>,<text>月色花光正好時。憐新惜別競追隨。花如長在月長滿。未必人人愛至斯。</text>
<title>挽權友 齊彦○二首</title>,<text>古心誰子似。今世獨余知。邠老嗟虛老。羲之有五之。煙霞湖上供。事業卷中期。下壽猶相靳。難窮造化兒。						江湖從古主人難。暮境逍遙剩得閒。知君種德留餘慶。翠竹碧梧峙鵠鸞。</text>
<title>睦大諫 萬中 重巹宴</title>,<text>南星輝耀錦筵紋。雙壽重牢世罕聞。昔癸亥爲今癸亥。新郞君是舊郞君。榮同錫命隨恩澤。誠並追先奉苾芬。餘慶德門應未艾。碧梧鸞鵠舞紛紛。</text>
<title>梨花落</title>,<text>爛熳春深屋後梨。飛來片片逐風吹。兒童不識梨花落。驚道雪花大似碁。</text>
<title>偶成</title>,<text>虛送光陰老病侵。平生氷薄又淵深。奇緣有友留黃卷。至恨無人識赤心。敢冀聖賢君子道。難明天地鬼神臨。蓬門寂寂稀來往。時聽松風撫素琴。</text>
<title>萬景齋十景</title>,<text>金城一帶壯長安。粉堞麗譙占地寬。誰把畫屛千萬丈。擺開當戶使人看。													右一帶粉堞												碧瓦參差間白茅。環城撲地亘平郊。遊絲白日多佳氣。滿眼成文似衆爻。													右極目人家												三山特立意如何。佳氣兼將秀色多。最是雨收雲捲處。靑天洗出碧嵯峩。													右天外三山												雜樹城頭捴不根。形形色色異朝昏。可憐物理眞如許。高處偏踈下處繁。													右城上衆樹																			層城隱見萬松巓。對闕南山應壽躔。每夕明烽三四點。坐占邊警絶狼煙。													右終南夕烽												雨過天晴山色森。朝來嵐氣爽人心。秀峯自是淸高極。紫陌紅塵不敢侵。													右仁王朝嵐												華嶽峯尖似畫圖。松林蒼鬱石容癯。突兀精神端重象。萬年宜爾鎭王都。													右白嶽特立												靑天送目駱岑東。秀出五峯杳靄中。料得化兒多戱劇。杈開仙掌倚遙空。													右道峯五秀												天長鳥遠不勝閑。橫帶斜陽向碧山。焉得高如彭澤令。共觀雲峀倦飛還。													右駱山歸鳥												圓嶠登臨四望通。傾城遊客不謀同。三三五五相携處。也有詩人有醉翁。													右圓嶠遊人</text>
<title>婚日見新婦有吟</title>,<text>爲是婚姻故。將兒遠涉湖。聽聞非不足。疑信未能無。一見知佳婦。餘年慰老夫。更祈荷餘慶。掌上弄明珠。</text>
